period_days,frequency_cpd,power
0.125,8.0,0.8150528489593624
0.07107937087697057,14.06877955814879,0.7980349240423741
0.04965845136567159,20.13755911629758,0.7672330663859571
0.03815870703735862,26.206338674446368,0.7171532259608708
0.030983620037992113,32.27511823259516,0.6427024242373249
0.02607976907974639,38.34389779074395,0.5452706095530332
0.022516093595175507,44.412677348892736,0.4402557952056519
0.019809253957179526,50.481456907041526,0.35360455839480703
0.017683392015797376,56.550236465190316,0.3028049673081681
0.015969589806829353,62.61901602333911,0.28564604609885147
0.0145586270680888,68.6877955814879,0.2891671024710674
0.0133767497792952,74.75657513963668,0.3012260532351092
0.012372355231091847,80.82535469778547,0.3138517221859708
0.011508256668449481,86.89413425593426,0.32195006705407586
0.010756977798694053,92.96291381408305,0.32187647640364486
0.010097777448289061,99.03169337223184,0.31123697605043893
0.009514705044785172,105.10047293038063,0.28948319175
0.008995293011466288,111.16925248852942,0.25848148527400455
0.008529655287985822,117.23803204667821,0.22243976387203462
0.008109852059144912,123.306811604827,0.1868394522072057
0.007729433280349532,129.3755911629758,0.156539888129031
0.007383104921052544,135.44437072112459,0.13399775726138577
0.007066481086927399,141.51315027927336,0.11868860519222885
0.006775897300581519,147.58192983742217,0.10791012895794609
0.0065082680316530025,153.65070939557094,0.09822143018997138
0.00626097670704268,159.71948895371975,0.08674382598666446
0.006031789878596938,165.78826851186852,0.07202322692167241
0.005818789576745109,171.85704807001733,0.05442812330184533
0.005620319508024576,177.9258276281661,0.03603321864947178
0.005434941900157917,183.9946071863149,0.019899522320857465
0.005261402614825965,190.06338674446368,0.008854048744939502
0.005098602737386274,196.1321663026125,0.004268482163449242
0.004945575282761613,202.20094586076127,0.005518745140602924
0.004801465973936527,208.26972541891004,0.010407179217966333
0.004665517285879326,214.33850497705885,0.016178398761977603
0.004537055125509071,220.40728453520762,0.02052302247136333
0.0044154776532489845,226.47606409335643,0.022215937747162767
0.004300245854939761,232.5448436515052,0.02133301193508109
0.004190875552488326,238.613623209654,0.01907514990558153
0.0040869306034605766,244.68240276780278,0.01722625860994788
0.003988017088191032,250.7511823259516,0.017375752275648103
0.0038937783210609127,256.8199618841004,0.0202152635544407
0.0038038905527632795,262.88874144224917,0.025241396823554956
0.003718059254414828,268.95752100039795,0.03096508490329129
0.003636015893640409,275.0263005585467,0.035463618684460324
0.0035575151282792065,281.09508011669556,0.0370395267778041
0.0034823323559319062,287.16385967484433,0.03480834640723588
