period_days,frequency_cpd,power
0.25,4.0,0.8206174409825877
0.09931690273134318,10.06877955814879,0.8105256370282404
0.061967240075984226,16.13755911629758,0.7893307701656875
0.045032187190351014,22.206338674446368,0.7526305822001361
0.03536678403159475,28.275118232595158,0.694660253975441
0.0291172541361776,34.34389779074395,0.6116372639368757
0.024744710462183694,40.412677348892736,0.5090970791764344
0.021513955597388106,46.481456907041526,0.40739186000286715
0.019029410089570344,52.550236465190316,0.3319840361577039
0.017059310575971643,58.61901602333911,0.2937479186084937
0.015458866560699063,64.6877955814879,0.2852168458371773
0.014132962173854798,70.75657513963668,0.29280077212383065
0.013016536063306005,76.82535469778547,0.3057633087051637
0.012063579757193877,82.89413425593426,0.31732691118455647
0.011240639016049152,88.96291381408305,0.32299344030255617
0.01052280522965193,95.03169337223184,0.3195097386264763
0.009891150565523227,101.10047293038063,0.3050295855883665
0.009331034571758653,107.16925248852942,0.2797857112860279
0.008830955306497969,113.23803204667821,0.24649659659822365
0.008381751104976652,119.306811604827,0.2099769452925806
0.007976034176382063,125.3755911629758,0.17572937572205277
0.007607781105526559,131.44437072112459,0.14795117118026288
0.007272031787280818,137.51315027927336,0.1280700821753948
0.0069646647118638124,143.58192983742217,0.11467710533814979
0.006682226927215595,149.65070939557094,0.10465162125971299
0.006421803762130267,155.71948895371975,0.09461838669174615
0.006180917869991554,161.78826851186852,0.08211082271911661
0.005957450172618758,167.85704807001733,0.06627523464258381
0.005749577355111903,173.9258276281661,0.04810383048726313
0.005555722005409229,179.9946071863149,0.030119188654005362
0.00537451251155276,186.06338674446368,0.015453994849443419
0.005204750559180067,192.1321663026125,0.006555112429246642
0.005045384600245616,198.20094586076127,0.00412531422254079
0.004895488051150169,204.26972541891004,0.006914110168460163
0.004754241265093463,210.33850497705885,0.012408707515156384
0.004620916537757806,216.40728453520762,0.017907659821178635
0.004494865567112764,222.47606409335643,0.02142124841745003
0.004375508911173871,228.5448436515052,0.022163661291557762
0.004262327081946073,234.613623209654,0.020633313125069486
0.004154852986758426,240.68240276780278,0.018307106795085053
0.004052665485018942,246.7511823259516,0.016994124396312833
0.0039553838729650135,252.81996188410037,0.018041903847219102
0.00386266314413318,258.88874144224917,0.02174163127606598
0.003774189901174755,264.95752100039795,0.02720807925790431
0.0036896788169234573,271.0263005585467,0.032732489265208525
0.0036088695605091974,277.09508011669556,0.036395352783964684
0.003531524118749812,283.16385967484433,0.03671825655598344
0.00345742445476371,289.2326392329931,0.033192834137388376
