set,sequence,file,jd,diff_flux,check_diff_flux,n_comps,good,minutes_combined,diff_flux_norm,check_diff_flux_norm
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,136.17436431427274,199.78561573394276,5,True,0.0,0.9418610202459732,0.9486104381351487
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,146.1164086405892,210.03160915813783,5,True,0.2771667391061783,1.0106259750865494,0.9972598680530617
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,143.02241860072954,215.69909132058427,5,True,0.5528334528207779,0.9892261423775989,1.0241698771520202
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,142.2512061986949,210.86554544204685,5,True,0.8289997279644012,0.9838919893344437,1.001219515802223
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,143.96374860403844,210.49685922676792,5,True,1.10649973154068,0.9957369275886722,0.9994689413630908
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,140.51367817892023,206.4554960924454,5,True,1.3809996843338013,0.9718742360542882,0.9802799760342842
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,142.25222942326963,200.61707186123655,5,True,1.6569996625185013,0.9838990665500911,0.9525583097489524
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,144.29028204051107,211.30126968244113,5,True,1.931832879781723,0.9979954225496676,1.0032883962922827
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,140.95859127527947,205.22878222790408,5,True,2.2079998254776,0.9749515135210706,0.9744553646265305
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,138.6379480428425,197.54350804088128,5,True,2.4843330681324005,0.9589005966430183,0.9379645928211715
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,142.12822171087606,206.46485118479137,5,True,2.7596665173768997,0.9830413571632948,0.9803243953395304
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,142.6383836990577,205.4180554938238,5,True,3.0354995280504227,0.986569933875212,0.9753540609368319
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,142.66930597812413,211.4509237008889,5,True,3.310333415865898,0.9867838103229303,1.0039989747965805
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,117.05105625250124,174.46188878337483,4,True,3.5864996910095215,0.8095931111410705,0.8283697910317855
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,148.31502826656376,217.7404885698784,5,True,3.8626666367053986,1.0258329058071811,1.0338627208131959
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,140.1217585131921,207.53384531668576,5,True,4.138666614890099,0.9691634919426783,0.9854001310880474
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,143.28143390207583,204.4119858988903,5,True,4.414832890033722,0.9910176426883499,0.9705770998140888
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,144.62983788809345,213.01721592833053,5,True,4.691166803240776,1.0003439880718559,1.0114359524321463
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,150.11784756678284,220.34935573611622,5,True,4.968332871794701,1.038302251516809,1.0462499921215416
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,147.98507311846285,216.76002845973437,5,True,5.2435000240802765,1.0235507443005665,1.029207357156303
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.676017361,144.98389715887473,210.27812439071553,5,True,5.5195000022649765,1.0027928676953068,0.9984303573394071
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.676209028,143.84240565389482,205.5432209032639,5,True,5.7954999804496765,0.9948976492458104,0.9759483640524598
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.6764001157,146.0685757382669,215.8115394504608,5,True,6.070666462182999,1.0102951349434028,1.02470379682065
bright_common_src1_src2_src3_src4_src5,V_8 generic,light_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6765917824,152.95097454325247,219.28019817267088,5,True,6.346666440367699,1.0578978037191729,1.041173480376842
