set,sequence,file,jd,diff_flux,check_diff_flux,n_comps,good,minutes_combined,diff_flux_norm,check_diff_flux_norm
all_common_8,V_8 generic,light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,154.68054993335352,226.93661223326828,8,True,0.0,0.97972313367503,0.9879063324807542
all_common_8,V_8 generic,light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,162.0641500098067,232.95531644999699,8,True,0.2771667391061783,1.0264897362493208,1.0141071114142262
all_common_8,V_8 generic,light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,154.54499285865614,233.0768480486896,8,True,0.5528334528207779,0.9788645357319042,1.0146361659143504
all_common_8,V_8 generic,light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,157.88190011716148,234.03564632787948,8,True,0.8289997279644012,1.0,1.0188100313927408
all_common_8,V_8 generic,light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,156.25526060071712,228.4689160503593,8,True,1.10649973154068,0.9896971121120455,0.9945767971065003
all_common_8,V_8 generic,light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,156.8901479041018,230.51729722934354,8,True,1.3809996843338013,0.9937183919605496,1.0034938630578192
all_common_8,V_8 generic,light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,156.03007523835828,220.04784700750312,8,True,1.6569996625185013,0.9882708221941274,0.9579179814494483
all_common_8,V_8 generic,light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,160.4905710749143,235.02526269002874,8,True,1.931832879781723,1.0165229260340607,1.0231180549473047
all_common_8,V_8 generic,light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,157.79928314976965,229.74800204989663,8,True,2.2079998254776,0.9994767166639715,1.0001449473767243
all_common_8,V_8 generic,light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,158.87841070601095,226.38389449565753,8,True,2.4843330681324005,1.0063117468697171,0.9855002273235184
all_common_8,V_8 generic,light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,156.72847832489617,227.67414918899453,8,True,2.7596665173768997,0.9926944013759058,0.9911169974405871
