rank,period_d,period_min,frequency_cpd,power,fap,sinusoid_amp_norm,sinusoid_rms_norm
1,0.0033995834169151316,4.895400120357789,294.15368807376564,0.06712525312185626,0.5611499927746061,0.005836168261719934,0.017085602641868643
2,0.0055644908511071145,8.012866825594246,179.71096130044663,0.06493677195244035,0.634807893542896,,
3,0.006259780101080576,9.01408334555603,159.75002058417004,0.05112370546477306,0.969696377722046,,
4,0.004846709509433185,6.979261693583787,206.3255489221487,0.03581575326665665,0.9999976716231058,,
5,0.0020813569053233423,2.997153943665613,480.45580142568025,0.03419595709434739,0.9999996322651389,,
6,0.006955008909244422,10.015212829311968,143.7812680111488,0.026349056862169342,0.9999999999989839,,
7,0.004105326729048218,5.911670489829434,243.58597159253165,0.02299231252517775,0.9999999999999996,,
8,0.03125,45.0,32.0,0.013688173865034483,1.0,,
9,0.030002343740113024,43.20337498576275,33.330729381085106,0.013426039022785993,1.0,,
10,0.027783806753282743,40.008681724727154,35.99218814325531,0.012852851950699195,1.0,,
