period_d,period_min,frequency_cpd,power
0.0375,53.99999999999999,26.666666666666668,0.01460833395396469
0.03571760739085953,51.43335464283773,27.99739604775177,0.01439612137838527
0.03409696274064452,49.099626346528105,29.328125428836877,0.014172879641786566
0.03261700432712753,46.96848623106365,30.658854809921984,0.013937937771863054
0.03126017500037153,45.014652000535,31.989584191007086,0.013690167438372246
0.03001172236378836,43.21688020385524,33.32031357209219,0.013428150153681893
0.028859160209153415,41.55719070118092,34.651042953177296,0.013150345513230107
0.02779184945950493,40.0202632216871,35.9817723342624,0.012855234041274567
0.026800668784657675,38.592963049907056,37.31250171534751,0.01254142043815289
0.025877753273388055,37.2639647136788,38.64323109643261,0.012207693931538656
0.025016285303089327,36.02345083644863,39.973960477517714,0.01185305115428612
0.024210325835232555,34.86286920273488,41.30468985860282,0.011476693276233954
0.02345467730429006,33.77473531817768,42.63541923968792,0.01107801277527493
0.022744771406416123,32.75247082523922,43.966148620773026,0.010656585951031632
0.022076576667358374,31.790270400996057,45.29687800185813,0.010212184981184605
0.021446521838171955,30.882991446967615,46.62760738294324,0.009744818402325193
0.02085143204445031,30.02606214400845,47.958336764028346,0.009254802321886435
0.020288475278794477,29.21540440146405,49.28906614511345,0.008742857764443362
0.01975511733314775,28.447368959732763,50.61979552619855,0.008210223710773233
0.01924908365766669,27.718680467040034,51.95052490728365,0.007658771735185875
0.018768326935169374,27.026390786643898,53.28125428836876,0.007091107342457067
0.01831099939626127,26.367839130616225,54.61198366945386,0.006510645199316782
0.017875429085761254,25.740617883496203,55.94271305053897,0.005921649837336432
0.01746009943777782,25.142543190400062,57.273442431624076,0.005329238853951681
0.017063631633527074,24.571629552278985,58.60417181270918,0.004739350530666904
0.01668476930939766,24.026067805532627,59.93490119379429,0.004158680497661108
0.016322365257920444,23.50420597140544,61.265630574879395,0.0035945915381877685
0.01597536982507423,23.00453254810689,62.59635995596449,0.003054996882020575
0.0156428207567467,22.52566188971525,63.927089337049594,0.002548211796379775
0.01532383428749369,22.066321373990913,65.2578187181347,0.0020827635202639526
0.015017597297810983,21.625340108847816,66.5885480992198,0.0016671485884904831
0.014723360393372527,21.20163896645644,67.91927748030491,0.0013095316131823678
0.014440431782217553,20.794221766393278,69.25000686139002,0.0010173910170729664
0.014168171844574853,20.402167456187787,70.58073624247513,0.0007971328866886443
0.01390598830560299,20.024623160068305,71.91146562356023,0.0006537095862953505
0.013653331934366192,19.660797985487314,73.24219500464532,0.0005902896349756269
0.013409692703312444,19.309957492769918,74.57292438573043,0.0006080252806442621
0.013174596351739683,18.971418746505144,75.90365376681554,0.0007059529095143482
0.01294760130452575,18.64454587851708,77.23438314790064,0.0008810414391656543
0.012728295904000148,18.328746101760213,78.56511252898575,0.0011283806528899496
0.012516295918448168,18.023466122565363,79.89584191007086,0.0014414813062518792
0.01231124229552308,17.728188905553235,81.22657129115596,0.0018126463909535037
0.012112799132932872,17.442430751423334,82.55730067224107,0.0022333697108311333
0.011920651842274964,17.165738652875948,83.88803005332616,0.0026947224646106335
0.011734505484906187,16.89768789826491,85.21875943441127,0.0031876977120691733
0.011554083261332372,16.637879896318616,86.54948881549637,0.0037034932178862607
0.011379125137844727,16.385940198496407,87.88021819658148,0.004233723025840437
0.01120938659607225,16.14151669834404,89.21094757766659,0.004770556288785397
0.011044637492804254,15.904277989638127,90.5416769587517,0.005306788329544129
0.010884661018902581,15.673911867219719,91.8724063398368,0.005835853908994926
0.010729252747400038,15.450123956256054,93.2031357209219,0.006351796408619883
0.010578219761996903,15.23263645727554,94.53386510200701,0.006849209068771905
0.010431379858143274,15.021186995726314,95.86459448309212,0.007323165437215582
0.010288560809750694,14.815527566041,97.19532386417721,0.007769155716457111
0.010149599695328155,14.615423561272543,98.52605324526232,0.008183043847911067
0.01001434227799913,14.420652880318746,99.85678262634742,0.00856105716432119
0.009882642434439409,14.231005105592748,101.18751200743253,0.008899816554837948
0.0097543616282907,14.046280744738608,102.51824138851764,0.009196410567670489
