sequence,N_common,median_cal_sigma_real_flats_pct,p90_cal_sigma_real_flats_pct,median_cal_range_real_flats_pct,p90_cal_range_real_flats_pct,median_cal_sigma_including_no_flat_pct,p90_cal_sigma_including_no_flat_pct,median_cal_range_including_no_flat_pct,p90_cal_range_including_no_flat_pct
V0399 named,106,0.11701151862554698,0.3109478788669805,0.25209480179451127,0.6791062679805115,0.16605049030455632,0.3131629496665892,0.4226622440181682,0.7544704745955533
V_8 generic,83,0.1344502705134566,0.40305688974389997,0.3037789959489223,0.863397361636471,0.1844421524995,0.40157710149732545,0.4647706391519568,0.8907653332535092
combined,189,0.11857144423307914,0.35337734890704686,0.2566449993837594,0.7514650584759799,0.16967751063904332,0.3495213651535504,0.4336987477049026,0.8241428024206249
