flat,sequence,file,jd,minutes,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,n_sources,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,188007.79036712646,275832.0360107422,1215.4585075378418,154.68054993335352,226.93661223326828,8,19,True,ok,0.0,0.97972313367503,0.9879063324807542
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,169939.37365722656,244275.3722229004,1048.593249320984,162.0641500098067,232.95531644999699,8,17,True,ok,0.2771667391061783,1.0264897362493208,1.0141071114142262
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,198252.70974731445,298994.5895385742,1282.8154835700989,154.54499285865614,233.0768480486896,8,20,True,ok,0.5528334528207779,0.9788645357319042,1.0146361659143504
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,170249.80078125,252369.1577911377,1078.3364062309265,157.88190011716148,234.03564632787948,8,17,True,ok,0.8289997279644012,1.0,1.0188100313927408
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,1.10649973154068,195226.19681549072,285450.3419570923,1249.4055948257446,156.25526060071712,228.4689160503593,8,21,True,ok,1.10649973154068,0.9896971121120455,0.9945767971065003
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,1.3809996843338013,188454.54767608643,276894.5887374878,1201.1879024505615,156.8901479041018,230.51729722934354,8,20,True,ok,1.3809996843338013,0.9937183919605496,1.0034938630578192
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,1.6569996625185013,200988.49668884277,283452.3145751953,1288.1394588947296,156.03007523835828,220.04784700750312,8,21,True,ok,1.6569996625185013,0.9882708221941274,0.9579179814494483
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,1.931832879781723,156232.16110992432,228789.17097473145,973.4662919044495,160.4905710749143,235.02526269002874,8,15,True,ok,1.931832879781723,1.0165229260340607,1.0231180549473047
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,2.2079998254776,200525.34380340576,291955.04681396484,1270.7620706558228,157.79928314976965,229.74800204989663,8,21,True,ok,2.2079998254776,0.9994767166639715,1.0001449473767243
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,2.4843330681324005,176289.25703430176,251192.39541625977,1109.585979938507,158.87841070601095,226.38389449565753,8,19,True,ok,2.4843330681324005,1.0063117468697171,0.9855002273235184
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,2.7596665173768997,221924.2614517212,322381.8539581299,1415.9791750907898,156.72847832489617,227.67414918899453,8,23,True,ok,2.7596665173768997,0.9926944013759058,0.9911169974405871
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,3.0354995280504227,174590.44567871094,251433.2322692871,1113.7397532463074,156.76054048516994,225.75582090557,8,20,True,ok,3.0354995280504227,0.9928974782343043,0.9827660811194074
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,3.310333415865898,187004.49365615845,277160.33696746826,1210.2505927085876,154.51716758728054,229.01070128556822,8,21,True,ok,3.310333415865898,0.9786882946849257,0.9969353106113961
flat_0p3_late_bias,V_8 generic,light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,3.5864996910095215,156422.44482421875,233144.03172302246,1005.7739086151123,155.5244608001441,231.80560732982943,7,18,True,ok,3.5864996910095215,0.9850683370591059,1.009102167922971
