rank,x,y,flux,peak,npix
1,599.578460791499,258.08586022924334,43093.570320129395,454.1346130371094,364
2,1506.7178858234115,321.3162110314761,26614.775352478027,316.30963134765625,293
3,390.6121365600256,1254.514788035858,16772.721717834473,246.5239715576172,232
4,2041.387437507543,1442.3507498915358,14452.552963256836,217.2015380859375,214
5,2033.8085843345157,1080.733577355526,13696.116889953613,206.21214294433594,211
6,940.6541235197662,1100.4907732876518,11535.886749267578,200.41184997558594,184
7,1944.5979695251317,1351.7388630834228,9647.784690856934,190.0592498779297,162
8,1071.4610770076736,1433.9985575432859,629.2733612060547,115.42147064208984,18
