label,role,ra,dec,v_mag,dra_arcsec,ddec_arcsec,auid,ref_x,ref_y,used_for_photometry
target,target,12:34:54.62,37:37:44.1,,0.0,0.0,,502.89347945000225,1283.923610763805,True
90,comparison,12:35:49.87,37:31:30.1,8.97,656.3547573535799,-374.0000000000009,000-BJS-822,732.2863539127927,201.39881473398714,True
96,comparison,12:35:53.44,37:47:11.2,9.551,698.7653724440878,567.0999999999822,000-BJS-823,1808.5128976492592,1067.665290082236,True
112,comparison,12:35:21.90,37:44:37.0,11.235,324.0788738570915,412.90000000000475,000-BJS-824,1273.238056765234,1329.0003929391128,True
125,comparison,12:34:55.02,37:35:56.9,12.454,4.751889645913335,-107.20000000001164,000-BJS-825,389.6547636232634,1174.7389577000586,True
143,comparison,12:35:02.55,37:41:15.1,14.29,94.20621223199232,210.99999999997863,000-BJS-826,826.8595660597227,1385.2633054242003,True
144,comparison,12:34:43.00,37:36:28.6,14.357,-138.0423942163471,-75.49999999999102,000-BJS-827,285.1360608689629,1362.0779937976858,True
