object_id,file,jd,norm_flux,minutes
90,light_AMCVn_V_40s_2026_05_20-0017_flat_4s_masked_clipmean_cal.fits,2461181.75516331,0.9937241659416205,39.38783302903175
90,light_AMCVn_V_40s_2026_05_20-0018_flat_4s_masked_clipmean_cal.fits,2461181.755726273,1.0084226504220621,40.198499858379364
90,light_AMCVn_V_40s_2026_05_20-0019_flat_4s_masked_clipmean_cal.fits,2461181.7562893517,0.998624308426968,41.0093329846859
90,light_AMCVn_V_40s_2026_05_20-0020_flat_4s_masked_clipmean_cal.fits,2461181.7568516205,0.9874249589406197,41.81900002062321
90,light_AMCVn_V_40s_2026_05_20-0021_flat_4s_masked_clipmean_cal.fits,2461181.7574131945,0.9998478486526052,42.62766659259796
90,light_AMCVn_V_40s_2026_05_20-0022_flat_4s_masked_clipmean_cal.fits,2461181.757975,0.9992208395899206,43.436666429042816
90,light_AMCVn_V_40s_2026_05_20-0023_flat_4s_masked_clipmean_cal.fits,2461181.7585376156,0.9999392981529737,44.24683302640915
90,light_AMCVn_V_40s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,2461181.7590993056,0.9990497055054164,45.05566656589508
90,light_AMCVn_V_40s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,2461181.7596614584,0.9909170848118822,45.86516663432121
90,light_AMCVn_V_40s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,2461181.7602230324,0.9959050281543664,46.67383320629597
90,light_AMCVn_V_40s_2026_05_20-0027_flat_4s_masked_clipmean_cal.fits,2461181.7607847224,0.9956754649192562,47.4826667457819
90,light_AMCVn_V_40s_2026_05_20-0028_flat_4s_masked_clipmean_cal.fits,2461181.7613462964,0.9907191605020707,48.29133331775665
90,light_AMCVn_V_40s_2026_05_20-0029_flat_4s_masked_clipmean_cal.fits,2461181.7619086807,0.9958283558451002,49.101166650652885
90,light_AMCVn_V_40s_2026_05_20-0030_flat_4s_masked_clipmean_cal.fits,2461181.762470602,1.0137140154188524,49.91033345460892
90,light_AMCVn_V_40s_2026_05_20-0031_flat_4s_masked_clipmean_cal.fits,2461181.763032176,1.003200910130604,50.71900002658367
90,light_AMCVn_V_40s_2026_05_20-0032_flat_4s_masked_clipmean_cal.fits,2461181.763594792,0.9953513755283714,51.52916729450226
90,light_AMCVn_V_40s_2026_05_20-0033_flat_4s_masked_clipmean_cal.fits,2461181.764156713,0.9937031169943342,52.338333427906036
90,light_AMCVn_V_40s_2026_05_20-0034_flat_4s_masked_clipmean_cal.fits,2461181.76471875,0.9854244080723692,53.14766652882099
90,light_AMCVn_V_40s_2026_05_20-0035_flat_4s_masked_clipmean_cal.fits,2461181.765280209,0.9966847230024354,53.956167474389076
90,light_AMCVn_V_40s_2026_05_20-0036_flat_4s_masked_clipmean_cal.fits,2461181.765842593,0.9987917402493788,54.766000136733055
90,light_AMCVn_V_40s_2026_05_20-0037_flat_4s_masked_clipmean_cal.fits,2461181.766404861,0.9995638070184244,55.57566650211811
90,light_AMCVn_V_40s_2026_05_20-0038_flat_4s_masked_clipmean_cal.fits,2461181.766967014,0.9953928772191891,56.38516657054424
90,light_AMCVn_V_40s_2026_05_20-0039_flat_4s_masked_clipmean_cal.fits,2461181.767529398,0.9966147587778192,57.194999903440475
