file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,frame_artifact,good,reject_reason,minutes,diff_flux_norm
light_AMCVn_V_45s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,2461181.7278106483,45.0,0.9844402401445997,0.009032526326338343,406.28358289930554,0.9110851697630897,6,True,False,True,ok,0.0,0.9789508084073819
light_AMCVn_V_45s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,2461181.7284305557,45.0,1.0023885956293406,0.009294661438762569,407.6250701904297,0.8977260570930976,6,True,False,True,ok,0.8926666527986526,0.9967990803439184
light_AMCVn_V_45s_2026_05_20-0003_flat_4s_masked_clipmean_cal.fits,2461181.729050347,45.0,1.0239079407720801,0.009184687813267459,424.60666707356773,0.9154717756319044,6,True,False,True,ok,1.7851663380861282,1.018198429400178
light_AMCVn_V_45s_2026_05_20-0004_flat_4s_masked_clipmean_cal.fits,2461181.729670602,45.0,1.002335681692307,0.009022694360613604,418.8803500705295,0.9225626291017177,6,True,False,True,ok,2.6783332228660583,0.9967464614653693
light_AMCVn_V_45s_2026_05_20-0005_flat_4s_masked_clipmean_cal.fits,2461181.7302908567,45.0,1.0219207029012385,0.008947695946823809,443.04114312065974,0.9570748915280551,6,True,False,True,ok,3.5715001076459885,1.0162222727572188
light_AMCVn_V_45s_2026_05_20-0006_flat_4s_masked_clipmean_cal.fits,2461181.730911111,45.0,1.0191510121170375,0.009069233684123646,427.50913764105906,0.9260318479720698,6,True,False,True,ok,4.464666321873665,1.013468026311712
light_AMCVn_V_45s_2026_05_20-0007_flat_4s_masked_clipmean_cal.fits,2461181.731531597,45.0,1.0102944426867129,0.009454847227618463,403.00632731119794,0.8806086803442084,6,True,False,True,ok,5.358166471123695,1.0046608428484893
light_AMCVn_V_45s_2026_05_20-0008_flat_4s_masked_clipmean_cal.fits,2461181.732152315,45.0,0.9979829889132444,0.00907742283043266,418.8277604844835,0.9264700456819783,6,True,False,True,ok,6.251999884843826,0.9924180401544054
light_AMCVn_V_45s_2026_05_20-0009_flat_4s_masked_clipmean_cal.fits,2461181.732770949,45.0,0.9823593416578916,0.009104517737273684,403.4709415011936,0.9066944216046301,6,True,False,True,ok,7.1428332477808,0.9768815134185085
light_AMCVn_V_45s_2026_05_20-0010_flat_4s_masked_clipmean_cal.fits,2461181.733390972,45.0,0.9822917595311284,0.008800399447792222,412.306490749783,0.9266137329551398,6,True,False,True,ok,8.035666197538376,0.9768143081429306
light_AMCVn_V_45s_2026_05_20-0011_flat_4s_masked_clipmean_cal.fits,2461181.734009838,45.0,0.9847627357910236,0.008653597655776751,428.9929158528646,0.961695482056552,6,True,False,True,ok,8.926833495497704,0.9792715057548695
light_AMCVn_V_45s_2026_05_20-0012_flat_4s_masked_clipmean_cal.fits,2461181.7346302085,45.0,1.0146521423087411,0.009272784605359043,418.57328525119357,0.9106959212773561,6,True,False,True,ok,9.820166677236557,1.0089942430832812
light_AMCVn_V_45s_2026_05_20-0013_flat_4s_masked_clipmean_cal.fits,2461181.73525,45.0,0.9795467014239494,0.00894883636208775,413.2357896592882,0.9313048033774276,6,True,False,True,ok,10.712666362524033,0.9740845570178107
light_AMCVn_V_45s_2026_05_20-0014_flat_4s_masked_clipmean_cal.fits,2461181.7358685187,45.0,0.9977818276150453,0.008670983555086881,434.3223605685764,0.9609386477671508,6,True,False,True,ok,11.603333428502083,0.9922180005710343
light_AMCVn_V_45s_2026_05_20-0015_flat_4s_masked_clipmean_cal.fits,2461181.73648831,45.0,1.0122760049055186,0.008829060065158325,439.18688625759546,0.9577882017052028,6,True,False,True,ok,12.495833113789558,1.0066313554879611
light_AMCVn_V_45s_2026_05_20-0016_flat_4s_masked_clipmean_cal.fits,2461181.7371069444,45.0,1.0194530600226184,0.008817984533089927,444.1858039008247,0.9618702711946623,6,True,False,True,ok,13.386666476726532,1.0137683899389676
light_AMCVn_V_45s_2026_05_20-0017_flat_4s_masked_clipmean_cal.fits,2461181.737727546,45.0,1.014504246875454,0.00862407775354003,447.69239298502606,0.974192781174627,6,True,False,True,ok,14.280332922935486,1.0088471723439187
light_AMCVn_V_45s_2026_05_20-0018_flat_4s_masked_clipmean_cal.fits,2461181.7383474535,45.0,1.0225077049109128,0.00877183953776949,441.2225708007812,0.9525991571378887,6,True,False,True,ok,15.172999575734138,1.01680600152863
light_AMCVn_V_45s_2026_05_20-0019_flat_4s_masked_clipmean_cal.fits,2461181.7389679397,45.0,0.9963787414657778,0.00863249324993184,445.8729336208767,0.9878834689725963,6,True,False,True,ok,16.06649972498417,0.9908227383051511
light_AMCVn_V_45s_2026_05_20-0020_flat_4s_masked_clipmean_cal.fits,2461181.7395881945,45.0,1.003214718260839,0.008992018061681286,428.8813490125868,0.9437616518859291,6,True,False,True,ok,16.9596666097641,0.997620596353697
light_AMCVn_V_45s_2026_05_20-0021_flat_4s_masked_clipmean_cal.fits,2461181.7402072917,45.0,0.9839588141469746,0.008566925964864658,443.2602973090278,0.9944912684573421,5,True,False,True,ok,17.851166501641273,0.9784720669354828
light_AMCVn_V_45s_2026_05_20-0022_flat_4s_masked_clipmean_cal.fits,2461181.7408261574,45.0,0.9907947497136669,0.008618239660296251,435.8359137641059,0.971087533842208,6,True,False,True,ok,18.742333129048347,0.9852698839855571
light_AMCVn_V_45s_2026_05_20-0023_flat_4s_masked_clipmean_cal.fits,2461181.741446412,45.0,1.0116893131934896,0.008598695746734771,459.4104281955295,1.0024731468634693,5,True,False,True,ok,19.635500013828278,1.0060479352839147
light_AMCVn_V_45s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,2461181.742066088,45.0,0.9973227896333138,0.008692484838412695,434.913336859809,0.9626890766541978,6,True,False,True,ok,20.52783340215683,0.991761522275064
