loss,period_min,period_s,cost,ordinary_chi2_at_solution,rms_pct,robust_residual_sigma_pct,max_abs_standard_residual,success
linear,17.586840306802706,1055.2104184081625,336.4636384717086,336.4636384717086,1.4317227011836111,1.2934411885968948,5.393910720469873,True
soft_l1,17.61924394913353,1057.1546369480118,184.52236069563276,340.2723763951211,1.439511464773936,1.292281158521111,5.476284528581175,True
huber,17.627451305769778,1057.6470783461866,216.90207653297458,342.18833335610316,1.4436511575256412,1.2938199459755957,5.470786064563701,True
cauchy,17.655862595924287,1059.3517557554571,115.66735575224955,347.3216836049555,1.45448884970905,1.2527742738712848,5.40575353943753,True
