segment,N,period_min,amp_pct,phase_rad,phase_cycles,chi2,reduced_chi2,rms_pct,fit_family
first_half,69,8.742153194917773,1.1784031129437422,-1.557660267364046,0.7520906687911688,129.53658622076279,1.962675548799436,1.245093790735162,half_period
second_half,69,8.742153194917773,0.6769490913718313,-1.5530603472737396,0.7528227688113688,248.07033740028828,3.7586414757619435,1.7432739171021598,half_period
all,138,8.742153194917773,0.9428873905674734,-1.5586206358757848,0.7519378213953357,383.7949674392405,2.842925684735115,1.5250900574992918,half_period
first_half,69,17.586597766294382,0.5290959609019545,-0.6047255116380886,0.9037549456090227,178.9056924398094,2.710692309694082,1.4414106877756476,long_period
second_half,69,17.586597766294382,1.2459555312915676,-1.3783995373400888,0.7806209000767433,203.69208327416922,3.086243685972261,1.5918660999807595,long_period
all,138,17.586597766294382,0.8186721325007285,-1.1300507235891804,0.8201468413962089,402.59212759201125,2.9821639080889724,1.5579638957714854,long_period
