periods_min,components,N,k,dof,chi2,reduced_chi2,chi2_p_value,aic_chi2,bic_chi2,sse,bic_sse,rms_pct,model,physical_interpretation,constraint_type,best_period_s,crossval_rmse_pct,amp_p1051.2s_h1_pct,phase_p1051.2s_h1_cycles,amp_p1028.7s_h1_pct,phase_p1028.7s_h1_cycles,amp_p1051.2s_h2_pct,phase_p1051.2s_h2_cycles,amp_p1011.4s_h1_pct,phase_p1011.4s_h1_cycles,amp_p525.1s_h1_pct,phase_p525.1s_h1_cycles,amp_p1055.2s_h1_pct,amp_p1055.2s_h2_pct,phase_p1055.2s_h1_cycles,phase_p1055.2s_h2_cycles,precession_period_hr,delta_bic_vs_constant,delta_bic_vs_free_double_wave,delta_cv_rmse_vs_free_double_wave_pct
,,138,1,137,457.8482911211901,3.3419583293517525,3.4033256048441737e-36,459.8482911211901,462.7755448063473,0.03799293561307003,-1126.3427505876614,1.659250215100008,constant,no coherent AM CVn variability,baseline,,,,,,,,,,,,,,,,,,0.0,101.67563743228982,
17.52000000,1051.2000s_h1,138,3,135,403.9892574929953,2.992513018466632,1.2697691488271217e-28,409.9892574929953,418.77101854846694,0.03362373393605874,-1133.3474344997178,1.5609299981532456,superhump_fixed_family,positive superhump at the literature 1051.2 s signal,conditional,,1.6234294532396356,0.8073249153718502,0.8048631526758382,,,,,,,,,,,,,,-44.00452625788034,57.671111174409475,0.10006785950600938
17.14553667,1028.7322s_h1,138,3,135,412.493485746428,3.0555073018253927,7.151834314592738e-30,418.493485746428,427.27524680189964,0.034389872082413855,-1130.2383055303917,1.5786132256246133,orbital_fixed_family,spectroscopic orbital period at 1028.7322 s,conditional,,1.6497050502414952,,,0.735114804247578,0.7143118303665944,,,,,,,,,,,,-35.50029800444764,66.17533942784218,0.12634345650786893
17.52000000;17.52000000,1051.2000s_h1;1051.2000s_h2,138,5,133,337.0168223272481,2.5339610701296853,1.1151084461688882e-19,347.0168223272481,361.6530907530341,0.028379018525508493,-1146.8952565064951,1.4340329904819034,harmonic_superhump_template,positive superhump waveform with strong 525.6 s harmonic,conditional,,1.5263166639105186,0.7544645796702135,0.7997171969574702,,,0.8990483827083232,0.7690017167757843,,,,,,,,,,-101.12245405331316,0.5531833789766551,0.002955070176892338
17.14553667;17.52000000,1028.7322s_h1;1051.2000s_h1,138,5,133,389.45456881983506,2.9282298407506397,5.490369586767215e-27,399.45456881983506,414.09083724562106,0.03248954113427375,-1128.2282533973923,1.5343775855203872,orbital_plus_superhump,simultaneous orbital and positive-superhump signals,conditional,,1.7096796056617847,2.108907806806955,0.9273360837597391,1.6857457719625157,0.4147787375804627,,,,,,,,,,,,-48.684707560726224,52.990929871563594,0.18631801192815844
17.14553667;17.52000000;16.85666667,1028.7322s_h1;1051.2000s_h1;1011.4000s_h1,138,7,131,372.1638360915797,2.840945313676181,5.6953494778660595e-25,386.1638360915797,406.6546118876801,0.031047243270766117,-1124.6400783726137,1.4999334108593079,orbital_plus_positive_negative_superhump,orbital plus positive and negative superhumps,conditional,,1.6497592272568418,10.386782283961457,0.840871616428357,20.237425636965977,0.26266283631675974,,,11.157324217604096,0.6955682157417955,,,,,,,,-56.120932918667165,45.55470451362265,0.12639763352321554
8.75091697,525.0550s_h1,138,3,135,383.76106602776963,2.842674563168664,1.0563508870550347e-25,389.76106602776963,398.54282708324126,0.032086503881267645,-1139.8053767348738,1.5248308027133541,single_sine_free,independent sinusoidal photometric period,independent,525.0550183394465,1.5690707773141448,,,,,,,,,0.9431568033788676,0.7577423331503869,,,,,,-64.23271772310602,37.4429197091838,0.045709183580518564
17.58689672;17.58689672,1055.2138s_h1;1055.2138s_h2,138,5,133,336.46363894827147,2.529801796603545,1.321750631087001e-19,346.46363894827147,361.09990737405747,0.028287618518528547,-1147.3404289239634,1.4317218406097185,double_wave_free,independent fundamental plus harmonic waveform,independent,1055.2138034508628,1.5233615937336262,,,,,,,,,,,0.7672726608502007,0.8934273971462536,0.8152577636586543,0.7904643502962473,,-101.67563743228982,0.0,0.0
17.58693076;17.58693076,1055.2158s_h1;1055.2158s_h2,138,5,133,336.4636396401525,2.529801801805658,1.3217503501854497e-19,346.4636396401525,361.0999080659385,0.02828759521761523,-1147.3405425965711,1.4317212509447852,beat_constrained_precessing_disk,positive superhump with f_sh = f_orb - f_prec,conditional,1055.2158455572028,1.523360948661686,,,,,,,,,,,0.7672792741357553,0.8934227168696508,0.8152656146411448,0.7904752047637335,11.385795265088362,-101.67563674040878,6.918810413480969e-07,-6.450719403083838e-07
