model,N,k,r2,adj_r2,loocv_r2,rms_pct,loocv_rms_pct,cols
V0399 named_throughput,107,2,0.9935653854596612,0.993441642872347,0.9926680469306273,0.10937081105751975,0.11674814879076513,"raw_target_norm,ensemble_norm"
V_8 generic_throughput,83,2,0.9840008386759115,0.9836008596428093,0.9809031341802992,0.1854857752483972,0.20264833931321466,"raw_target_norm,ensemble_norm"
V_8 generic_time,83,1,0.07615596917134404,0.06475048730926192,0.03163982158220224,1.409487826539123,1.4430469514119963,minutes_centered
V_8 generic_position_xy,83,2,0.08479074059845981,0.06191050911342122,0.002042494782437343,1.4028854256820196,1.4649338864513375,"target_x_rel,target_y_rel"
V_8 generic_position_plus_time,83,3,0.09665141253059018,0.06234703579124545,-0.017608430267762376,1.3937654213314752,1.4792866872587056,"target_x_rel,target_y_rel,minutes_centered"
V0399 named_time,107,1,0.013805872330366786,0.004413547304941701,-0.026601260119229586,1.3540084379146233,1.381468737138394,minutes_centered
V0399 named_position_plus_time,107,3,0.03545193166503491,0.007358298606734981,-0.04964612958844761,1.3390663682497115,1.3968881045823272,"target_x_rel,target_y_rel,minutes_centered"
V0399 named_position_xy,107,2,0.01710992012161805,-0.001791812183735475,-0.049816942662930463,1.3517383666267428,1.3970017605272027,"target_x_rel,target_y_rel"
