file,jd,minutes,object_id,role,x,y,pred_x,pred_y,match_dist,flux,flux_err,flux_rate,flux_rate_err,flag,n_sources
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,target,target,1919.0146393338243,634.6679345974002,1919.0146393338243,634.6679345974002,0.0,1705895.1122131348,4639.331720440328,213236.88902664185,579.916465055041,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,DN_UMa,check,1844.3169140644086,689.1431723905756,1844.3169140644086,689.1431723905756,0.0,2524618.7202148438,8143.272682426407,315577.34002685547,1017.9090853033009,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,gaia_774272862760870784_src1,comparison,589.9488503558082,260.06675505119244,588.9092184317915,258.09633608026274,2.2278656733372255,26613.17392730713,179.38861673372156,3326.646740913391,22.423577091715195,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,gaia_774271076054448768_src2,comparison,1496.8261972737305,323.38912427460417,1496.8855775590227,322.6162471911186,0.7751548261209308,18226.805992126465,147.67674226711983,2278.350749015808,18.45959278338998,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,gaia_774384016513181696_src3,comparison,380.7732924829132,1256.926819189222,378.38455295389986,1255.25613844823,2.9150044040776293,12138.714263916016,130.05126827659552,1517.339282989502,16.25640853457444,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,gaia_774289041901756032_src4,comparison,2031.8971565602849,1444.6760039472465,2030.5845795545972,1445.5127808122395,1.5566161754419505,11023.301292419434,116.22276625267456,1377.9126615524292,14.52784578158432,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,gaia_774287774887292672_src5,comparison,2024.0397640441583,1082.9872937469418,2023.4864557666276,1083.5176952370834,0.766469693287703,10462.283973693848,112.77922889583007,1307.785496711731,14.09740361197876,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,gaia_774289488578357504_src6,comparison,930.6605250786797,1102.5646171895623,929.1938379874168,1101.818458968856,1.6455768332122327,9756.38744354248,110.36368712106669,1219.54843044281,13.795460890133336,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,gaia_774288805679445888_src7,comparison,1935.118026830609,1353.849526775419,1933.819089536181,1354.6780306126675,1.5406676160650112,8595.72541809082,102.64125609967101,1074.4656772613525,12.830157012458876,ok,27
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,gaia_774290626745586944_src8,comparison,1060.6387317188412,1435.5339310292973,1059.683322224237,1435.8420197084702,1.003855535729375,3050.8084259033203,68.29746017846533,381.35105323791504,8.537182522308166,ok,27
