raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0050.fit,light_V0399_V_8s_2026_05_20-0050_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.698446412,46107.0,45346.33725404287
light_V0399_V_8s_2026_05_20-0051.fit,light_V0399_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.698638773,57895.0,56912.78400177602
light_V0399_V_8s_2026_05_20-0052.fit,light_V0399_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.6988304397,56047.0,55425.934401771396
light_V0399_V_8s_2026_05_20-0053.fit,light_V0399_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.6990222223,57121.0,56393.78239897187
light_V0399_V_8s_2026_05_20-0054.fit,light_V0399_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.699213773,60518.0,59661.7848751243
light_V0399_V_8s_2026_05_20-0055.fit,light_V0399_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.699405208,60913.0,60273.26691277621
light_V0399_V_8s_2026_05_20-0056.fit,light_V0399_V_8s_2026_05_20-0056_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.699596991,63126.0,62075.182559386325
light_V0399_V_8s_2026_05_20-0057.fit,light_V0399_V_8s_2026_05_20-0057_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.699788773,65024.0,64065.73748668108
light_V0399_V_8s_2026_05_20-0058.fit,light_V0399_V_8s_2026_05_20-0058_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.6999804396,54163.0,53097.397010507004
light_V0399_V_8s_2026_05_20-0059.fit,light_V0399_V_8s_2026_05_20-0059_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7001721063,60586.0,59702.12047973557
light_V0399_V_8s_2026_05_20-0060.fit,light_V0399_V_8s_2026_05_20-0060_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7003641203,49151.0,48528.51558008301
light_V0399_V_8s_2026_05_20-0061.fit,light_V0399_V_8s_2026_05_20-0061_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.70055544,60376.0,59725.94584209649
light_V0399_V_8s_2026_05_20-0062.fit,light_V0399_V_8s_2026_05_20-0062_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.700747222,55324.0,54686.35406626646
light_V0399_V_8s_2026_05_20-0063.fit,light_V0399_V_8s_2026_05_20-0063_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.70093831,55900.0,55260.939351871784
light_V0399_V_8s_2026_05_20-0064.fit,light_V0399_V_8s_2026_05_20-0064_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7011302086,55338.0,54492.78826643517
light_V0399_V_8s_2026_05_20-0065.fit,light_V0399_V_8s_2026_05_20-0065_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7013217593,62000.0,61326.64436896275
light_V0399_V_8s_2026_05_20-0066.fit,light_V0399_V_8s_2026_05_20-0066_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.701513542,57731.0,56742.37537445856
