raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0098.fit,light_V0399_V_8s_2026_05_20-0098_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7076488426,59466.0,58566.046215809314
light_V0399_V_8s_2026_05_20-0099.fit,light_V0399_V_8s_2026_05_20-0099_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.707839815,65535.0,65343.92981128062
light_V0399_V_8s_2026_05_20-0100.fit,light_V0399_V_8s_2026_05_20-0100_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7080314816,54239.0,53993.922412756394
light_V0399_V_8s_2026_05_20-0101.fit,light_V0399_V_8s_2026_05_20-0101_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7082226854,65535.0,65343.92981128062
light_V0399_V_8s_2026_05_20-0102.fit,light_V0399_V_8s_2026_05_20-0102_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7084144675,55745.0,55139.26970110498
light_V0399_V_8s_2026_05_20-0103.fit,light_V0399_V_8s_2026_05_20-0103_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7086069444,64709.0,63950.46956006335
light_V0399_V_8s_2026_05_20-0104.fit,light_V0399_V_8s_2026_05_20-0104_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.708799537,50165.0,49464.578157543976
light_V0399_V_8s_2026_05_20-0105.fit,light_V0399_V_8s_2026_05_20-0105_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7089913194,52925.0,52194.29977603675
light_V0399_V_8s_2026_05_20-0106.fit,light_V0399_V_8s_2026_05_20-0106_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.709182986,65535.0,64794.31454508084
light_V0399_V_8s_2026_05_20-0107.fit,light_V0399_V_8s_2026_05_20-0107_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7093744213,65535.0,64891.93859163264
light_V0399_V_8s_2026_05_20-0108.fit,light_V0399_V_8s_2026_05_20-0108_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7095659724,65535.0,65182.66916825585
light_V0399_V_8s_2026_05_20-0109.fit,light_V0399_V_8s_2026_05_20-0109_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.7097577546,65535.0,64719.60590567017
light_V_8s_2026_05_20-0001.fit,light_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.672184375,42070.0,41161.47403498596
light_V_8s_2026_05_20-0002.fit,light_V_8s_2026_05_20-0002_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.672376852,38089.0,37607.80877356797
light_V_8s_2026_05_20-0003.fit,light_V_8s_2026_05_20-0003_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6725682872,48598.0,47724.0051815635
light_V_8s_2026_05_20-0004.fit,light_V_8s_2026_05_20-0004_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6727600694,37055.0,36383.89117955421
light_V_8s_2026_05_20-0005.fit,light_V_8s_2026_05_20-0005_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6729527777,44955.0,44182.87092718571
light_V_8s_2026_05_20-0006.fit,light_V_8s_2026_05_20-0006_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6731434027,44264.0,43617.20221622973
light_V_8s_2026_05_20-0007.fit,light_V_8s_2026_05_20-0007_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6733350693,46261.0,45422.229517360654
light_V_8s_2026_05_20-0008.fit,light_V_8s_2026_05_20-0008_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6735259257,33620.0,32833.13346737123
light_V_8s_2026_05_20-0009.fit,light_V_8s_2026_05_20-0009_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6737177083,47288.0,46712.63074051098
light_V_8s_2026_05_20-0010.fit,light_V_8s_2026_05_20-0010_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6739096064,38652.0,37889.04883437576
light_V_8s_2026_05_20-0011.fit,light_V_8s_2026_05_20-0011_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.67410081,53076.0,52214.32118917507
light_V_8s_2026_05_20-0012.fit,light_V_8s_2026_05_20-0012_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.674292361,38129.0,37433.38021647404
light_V_8s_2026_05_20-0013.fit,light_V_8s_2026_05_20-0013_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6744832178,44007.0,43235.60378331362
light_V_8s_2026_05_20-0014.fit,light_V_8s_2026_05_20-0014_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.674675,35158.0,34429.26415342825
light_V_8s_2026_05_20-0015.fit,light_V_8s_2026_05_20-0015_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6748667825,38648.0,37896.530980595024
light_V_8s_2026_05_20-0016.fit,light_V_8s_2026_05_20-0016_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.675058449,44498.0,43862.73113646174
light_V_8s_2026_05_20-0017.fit,light_V_8s_2026_05_20-0017_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6752502313,48215.0,47568.55615371889
light_V_8s_2026_05_20-0018.fit,light_V_8s_2026_05_20-0018_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.67544213,27659.0,26979.111162905716
light_V_8s_2026_05_20-0019.fit,light_V_8s_2026_05_20-0019_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6756346063,54296.0,53631.273918029015
light_V_8s_2026_05_20-0020.fit,light_V_8s_2026_05_20-0020_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6758256946,44102.0,43455.540214659566
light_V_8s_2026_05_20-0021.fit,light_V_8s_2026_05_20-0021_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.676017361,46552.0,46018.4439491276
light_V_8s_2026_05_20-0022.fit,light_V_8s_2026_05_20-0022_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.676209028,47795.0,46905.30530654375
light_V_8s_2026_05_20-0023.fit,light_V_8s_2026_05_20-0023_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6764001157,54778.0,53955.56734312041
light_V_8s_2026_05_20-0024.fit,light_V_8s_2026_05_20-0024_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6765917824,34011.0,33367.76212955308
light_V_8s_2026_05_20-0025.fit,light_V_8s_2026_05_20-0025_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.676783449,54629.0,53881.0522371278
light_V_8s_2026_05_20-0026.fit,light_V_8s_2026_05_20-0026_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6769761574,54807.0,54286.976839244686
