file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,154.68054993335352,98.24998923738902,188007.79036712646,1215.4585075378418,8,19,True,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,162.0641500098067,99.17974515997362,169939.37365722656,1048.593249320984,8,17,True,ok
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,154.54499285865614,94.61424129229417,198252.70974731445,1282.8154835700989,8,20,True,ok
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,157.88190011716148,95.5411533308969,170249.80078125,1078.3364062309265,8,17,True,ok
light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,1.10649973154068,156.25526060071712,94.10609381981746,195226.19681549072,1249.4055948257446,8,21,True,ok
light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,1.3809996843338013,156.8901479041018,96.00109596897785,188454.54767608643,1201.1879024505615,8,20,True,ok
light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,1.6569996625185013,156.03007523835828,95.38591779040718,200988.49668884277,1288.1394588947296,8,21,True,ok
light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,1.931832879781723,160.4905710749143,100.71340657085463,156232.16110992432,973.4662919044495,8,15,True,ok
light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,2.2079998254776,157.79928314976965,98.74333481392203,200525.34380340576,1270.7620706558228,8,21,True,ok
light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,2.4843330681324005,158.87841070601095,98.52955029870284,176289.25703430176,1109.585979938507,8,19,True,ok
light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,2.7596665173768997,156.72847832489617,96.47113784813524,221924.2614517212,1415.9791750907898,8,23,True,ok
light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,3.0354995280504227,156.76054048516994,93.57333533976413,174590.44567871094,1113.7397532463074,8,20,True,ok
light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,3.310333415865898,154.51716758728054,92.22948826048548,187004.49365615845,1210.2505927085876,8,21,True,ok
light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,3.5864996910095215,155.5244608001441,100.99198275170617,156422.44482421875,1005.7739086151123,7,18,True,ok
light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,3.8626666367053986,159.452068322887,94.29060922400127,170918.1307373047,1071.9091482162476,8,19,True,ok
light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,4.138666614890099,158.53911907120417,95.89471042071457,185470.78840637207,1169.8739686012268,8,23,True,ok
light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,4.414832890033722,157.15629219367202,94.43112832084739,209430.39459228516,1332.6249408721924,8,23,True,ok
light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,4.691166803240776,155.50246533940262,94.41590543921743,127894.95864868164,822.4625787734985,8,16,True,ok
light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,4.968332871794701,158.73574499432667,95.5429962541663,219931.70593070984,1385.5209860801697,8,24,True,ok
light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,5.2435000240802765,161.0552717291604,102.01785803570739,196556.83554077148,1220.4309329986572,8,23,True,ok
light_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.676017361,5.5195000022649765,160.22351598672705,99.06063480416199,203771.92554092407,1271.7978649139404,8,23,True,ok
light_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.676209028,5.7954999804496765,159.41117320468243,96.06488206616233,208552.97262573242,1308.2707343101501,8,23,True,ok
light_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.6764001157,6.070666462182999,157.59122445971215,95.66529253985286,220583.2804965973,1399.7180442810059,8,23,True,ok
light_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6765917824,6.346666440367699,161.99121071197567,95.93545743704831,158948.5138130188,981.2169013023376,8,19,True,ok
light_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.676783449,6.622666418552399,148.8553322090734,85.47486784597643,221125.41875839233,1485.5055272579193,8,23,True,ok
light_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.6769761574,6.900166422128677,159.88992836267445,95.61693503144745,227065.96070480347,1420.1392359733582,8,24,True,ok
light_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6771674766,7.1756661683321,157.18561885668672,92.47477588365619,197368.7423171997,1255.6412205696106,8,24,True,ok
light_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.677359375,7.452000081539154,163.8522457693093,103.2341544583242,172898.94860839844,1055.212565422058,8,19,True,ok
light_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.677550463,7.727166563272476,156.087206323262,91.7454560118477,224322.55504989624,1437.1617016792297,8,24,True,ok
light_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.677741667,8.002500012516975,160.4553553701776,102.03073861815051,193333.1411743164,1204.9030132293701,8,23,True,ok
light_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6779328706,8.277833461761475,159.1897046677727,97.25606086598148,207404.0467529297,1302.8734941482544,8,26,True,ok
light_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6781244213,8.553666472434998,154.47604008364092,95.16186095452849,153637.23175048828,994.5699777603149,8,17,True,ok
light_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.678316204,8.829833418130875,155.47488837849372,92.23147688111554,216752.25330352783,1394.1303033828735,8,25,True,ok
light_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.6785078705,9.105833396315575,156.2005418713476,97.02820382733887,197608.60961914062,1265.0955448150635,8,25,True,ok
