period_min,frequency_cpd,power
480.0,3.0,0.0033867918134386885
354.27984153243153,4.064583504868084,0.0033457377640091954
280.7473410919545,5.129167009736167,0.003292822216183918
232.49241257048092,6.19375051460425,0.0032285046667208097
198.39263336970058,7.2583340194723345,0.003153421899094516
173.016252508656,8.322917524340419,0.0030684386030912715
153.39545588538937,9.3875010292085,0.0029747140033281327
137.77156081212468,10.452084534076585,0.0028737882633571438
125.03616455128412,11.516668038944669,0.002767693261016676
114.45602172290782,12.581251543812753,0.0026590930982426644
105.52670429203283,13.645835048680837,0.0025514601996637722
97.88980475015764,14.71041855354892,0.0024492926603601087
91.28366479240269,15.775002058417003,0.002358376899176509
85.51279332785924,16.839585563285087,0.002286095445231013
80.42819493708775,17.90416906815317,0.002241770917428494
75.91432248676557,18.968752573021256,0.00223702116204509
71.88018981967355,20.033336077889338,0.002286073501545549
68.25317512238794,21.09791958275742,0.0024059445136093566
64.97461023723571,22.162503087625506,0.002616334461290487
61.99658292337756,23.22708659249359,0.002939018767513107
59.2795799641787,24.291670097361674,0.003396465595268705
56.790724000069574,25.356253602229756,0.004009418671091618
54.50243662465753,26.42083710709784,0.004793338187432124
52.391412171916635,27.485420611965925,0.005753974440777022
50.43782109827891,28.550004116834007,0.0068829676775754535
48.624685185376094,29.61458762170209,0.0081550326471328
46.93738282755838,30.679171126570175,0.0095285453807857
45.36325386581266,31.743754631438257,0.01095068035939284
43.89128135711538,32.80833813630634,0.012366551825463661
42.51183335332962,33.87292164117443,0.013729831836301385
41.21645188975703,34.93750514604251,0.015011310031954833
39.99767941140211,36.00208865091059,0.0162025796031046
38.848915110268535,37.066672155778676,0.01731400854655814
37.76429532810134,38.13125566064676,0.01836814197264158
36.73859344914692,39.19583916551484,0.01939076447920146
35.76713567538668,40.26042267038293,0.02040197860131173
34.84572982017838,41.32500617525101,0.021409268331783575
33.97060483167088,42.389589680119094,0.022403941931285785
33.13835920591167,43.45417318498718,0.023361592633854327
32.34591680158357,44.51875668985526,0.02424622249598467
31.590488846332764,45.58334019472335,0.025016648932649637
30.869541145571123,46.64792369959143,0.025633219250318577
30.18076568119247,47.71250720445951,0.02606304900924505
29.522055929519187,48.777090709327595,0.026282871112308558
28.891485342397782,49.84167421419568,0.026279630119899592
28.287288528395166,50.90625771906376,0.026049665169039653
27.707844746928977,51.97084122393185,0.0255974856715847
27.151663390338307,53.03542472879993,0.02493486365718483
26.61737118006289,54.100008233668014,0.024080484839571894
26.10370084537516,55.164591738536096,0.02305993180624908
25.60948108818145,56.22917524340418,0.021905462573271008
25.133627666616032,57.29375874827227,0.02065498868181123
24.675135454563254,58.35834225314035,0.019349885638529612
24.2330713547192,59.42292575800843,0.018031723803004905
23.806567960036386,60.487509262876515,0.01673850656410839
23.394817872945,61.5520927677446,0.01550130180127676
22.99706860406815,62.61667627261268,0.014342091303772356
22.612617982617525,63.68125977748077,0.013273274798573043
22.24081001957659,64.74584328234886,0.012298754866246259
21.88103117239937,65.81042678721693,0.01141612805959154
21.53270696648298,66.87501029208502,0.01061933920367837
21.19529893428035,67.9395937969531,0.009901204910560455
20.86830183774968,69.00417730182119,0.009255388139002436
20.551241144006752,70.06876080668927,0.008677619138852182
20.243670727653907,71.13334431155735,0.00816615638655445
19.945170776388846,72.19792781642543,0.0077216387813997985
19.65534587921597,73.26251132129352,0.0073465796977711375
19.373823278952507,74.3270948261616,0.007044779010865597
19.100251272789684,75.39167833102968,0.006820878657624911
18.834297746478246,76.45626183589776,0.006680181793403391
18.575648829292987,77.52084534076586,0.006628734310770324
18.324007658323083,78.58542884563394,0.00667356909519229
18.079093241859663,79.65001235050202,0.006822959838316909
