model,period_min,amp_pct,rms_pct,chi2_red,p_model,delta_chi2_vs_const,delta_p_two_params
constant_offsets,,0.0,1.4093645125775796,1.4124760361273523,0.00016795169861656573,,
VSX_15.3min,15.3,0.28390604019449983,1.3950629485165562,1.398880304969895,0.00026773549442894387,5.353758067541776,0.06877747170791637
best_LS_4.679min,4.67947,0.4013985595253349,1.3806618160134887,1.3701772017490845,0.0005998765892261489,10.69253526661251,0.00476590595344673
