flat,n_comp,subset,HD_N,HD_scatter_pct,HD_chi2_red,HD_p_constant,DN_N,DN_scatter_pct,DN_chi2_red,DN_p_constant,V0399_N,V0399_scatter_pct,V0399_chi2_red,V0399_p_constant
flat_6s_masked,3,gaia_774272862760870784_src1|gaia_774289488578357504_src6|gaia_774288805679445888_src7,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774272862760870784_src1|gaia_774289488578357504_src6|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774271076054448768_src2|gaia_774289488578357504_src6|gaia_774288805679445888_src7,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774271076054448768_src2|gaia_774289488578357504_src6|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774288805679445888_src7,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774288805679445888_src7,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774289488578357504_src6|gaia_774288805679445888_src7|HD_103405,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774289488578357504_src6|gaia_774288805679445888_src7|TYC_3452_787_1,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774289488578357504_src6|gaia_774290626745586944_src8|HD_103405,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,3,gaia_774289488578357504_src6|gaia_774290626745586944_src8|TYC_3452_787_1,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774272862760870784_src1|gaia_774271076054448768_src2|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774272862760870784_src1|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774272862760870784_src1|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8|HD_103405,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774272862760870784_src1|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8|TYC_3452_787_1,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774271076054448768_src2|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774271076054448768_src2|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8|HD_103405,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774271076054448768_src2|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8|TYC_3452_787_1,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774289041901756032_src4|gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
flat_6s_masked,5,gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774288805679445888_src7|gaia_774290626745586944_src8|HD_103405,109,2.148930305408576,0.7683785812168547,0.9647265287521395,64,2.334944617834618,0.7949134239100133,0.8810440024391847,107,1.99433416106831,0.6434069161130581,0.9983770624594985
