file,jd,object_id,role,x,y,flux,flux_err,flux_rate,flux_rate_err,flag,dx,dy
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,target_V0399_direct,target,1846.1828551628541,714.9477537747637,1504062.3229370117,5544.916210311319,188007.79036712646,693.1145262889149,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,DN_UMa_direct,check,1764.9244620103386,759.2228666861361,2206656.2880859375,9496.15617281736,275832.0360107422,1187.01952160217,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,gaia_774287774887292672_src5,comparison,1891.6436288263067,1173.234740031981,9673.55029296875,117.83602519608989,1209.1937866210938,14.729503149511237,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,gaia_774288805679445888_src7,comparison,1767.995250132296,1430.049490681881,7492.035720825195,106.4022221786389,936.5044651031494,13.300277772329862,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,gaia_774289041901756032_src4,comparison,1852.144473974858,1532.6528088919893,9684.960998535156,118.42173937482613,1210.6201248168945,14.802717421853266,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,gaia_774271076054448768_src2,comparison,1468.5081692804415,351.13981376307237,16327.112182617188,149.4234296848427,2040.8890228271484,18.677928710605336,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,gaia_774272862760870784_src1,comparison,577.761300198513,169.5638766273241,24509.17251586914,183.9902964433029,3063.6465644836426,22.998787055412862,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,gaia_774384016513181696_src3,comparison,239.38060962487788,1130.5477973514164,10909.139343261719,130.99211500839627,1363.6424179077148,16.374014376049534,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,gaia_774289488578357504_src6,comparison,805.0728403613343,1049.5229640101609,8584.531753540039,111.88151002383479,1073.0664691925049,13.985188752979349,ok,1.1368683772161603e-13,0.0
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,gaia_774290626745586944_src8,comparison,889.9963596699455,1396.5941079873598,2654.808303833008,75.3245194777436,331.851037979126,9.41556493471795,ok,1.1368683772161603e-13,0.0
