file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason,sequence,minutes_combined,diff_flux_norm
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,154.68054993335352,98.24998923738902,188007.7903671265,1215.4585075378418,8,19,True,ok,V_8 generic,0.0,0.97972313367503
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,162.0641500098067,99.17974515997362,169939.37365722656,1048.593249320984,8,17,True,ok,V_8 generic,0.2771667391061783,1.0264897362493208
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,154.54499285865614,94.61424129229415,198252.70974731445,1282.8154835700989,8,20,True,ok,V_8 generic,0.5528334528207779,0.9788645357319042
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,157.88190011716148,95.5411533308969,170249.80078125,1078.3364062309265,8,17,True,ok,V_8 generic,0.8289997279644012,1.0
light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,1.10649973154068,156.25526060071712,94.10609381981746,195226.19681549072,1249.4055948257446,8,21,True,ok,V_8 generic,1.10649973154068,0.9896971121120455
light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,1.3809996843338013,156.8901479041018,96.00109596897784,188454.54767608643,1201.1879024505615,8,20,True,ok,V_8 generic,1.3809996843338013,0.9937183919605496
light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,1.6569996625185013,156.03007523835828,95.38591779040718,200988.49668884277,1288.1394588947296,8,21,True,ok,V_8 generic,1.6569996625185013,0.9882708221941274
light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,1.931832879781723,160.4905710749143,100.71340657085464,156232.16110992432,973.4662919044496,8,15,True,ok,V_8 generic,1.931832879781723,1.0165229260340607
light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,2.2079998254776,157.79928314976965,98.74333481392205,200525.34380340576,1270.7620706558228,8,21,True,ok,V_8 generic,2.2079998254776,0.9994767166639715
light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,2.4843330681324005,158.87841070601095,98.52955029870284,176289.25703430176,1109.585979938507,8,19,True,ok,V_8 generic,2.4843330681324005,1.0063117468697171
light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,2.7596665173768997,156.72847832489617,96.47113784813524,221924.2614517212,1415.9791750907898,8,23,True,ok,V_8 generic,2.7596665173768997,0.9926944013759058
light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,3.0354995280504227,156.76054048516994,93.57333533976411,174590.44567871094,1113.7397532463074,8,20,True,ok,V_8 generic,3.0354995280504227,0.9928974782343043
light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,3.310333415865898,154.51716758728054,92.22948826048548,187004.49365615845,1210.2505927085876,8,21,True,ok,V_8 generic,3.310333415865898,0.9786882946849257
light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,3.5864996910095215,155.5244608001441,100.99198275170616,156422.44482421875,1005.7739086151124,7,18,True,ok,V_8 generic,3.5864996910095215,0.9850683370591059
light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,3.8626666367053986,159.452068322887,94.29060922400129,170918.1307373047,1071.9091482162476,8,19,True,ok,V_8 generic,3.8626666367053986,1.0099452071742252
