sequence,file,jd,diff_flux,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason,check_diff_flux,minutes_combined,diff_flux_norm,check_diff_flux_norm
V_8 generic,light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,115.9404543027488,188007.7903671265,1621.5892157554626,4,True,ok,170.09982141638636,0.0,0.9733630473263188,0.97944167805172
V_8 generic,light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,121.17583263624475,169939.37365722656,1402.419690132141,4,True,ok,174.18136235657377,0.2771667391061783,1.0173159871284272,1.002943356502682
V_8 generic,light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,116.01758167440926,198252.70974731445,1708.8160853385925,4,True,ok,174.97177847511313,0.5528334528207779,0.9740105601721428,1.007494604605443
V_8 generic,light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,118.01104773893313,170249.80078125,1442.6598529815674,4,True,ok,174.93323687462603,0.8289997279644012,0.9907464459764177,1.007272680504985
V_8 generic,light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,118.60388701208787,195226.19681549072,1646.0354018211365,4,True,ok,173.41689105913304,1.10649973154068,0.995723551206537,0.9985414997332097
V_8 generic,light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,116.7302783131929,188454.54767608643,1614.4444303512573,4,True,ok,171.51075845778314,1.3809996843338013,0.9799939123706275,0.9875659108224775
V_8 generic,light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,118.08671571023591,200988.49668884277,1702.041550397873,4,True,ok,166.53665975953106,1.6569996625185013,0.9913817066158142,0.958924848561247
V_8 generic,light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,120.80932529473364,156232.16110992432,1293.212760925293,4,True,ok,176.91533666202994,1.931832879781723,1.0142390222765456,1.0186856915574107
V_8 generic,light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,119.69159477666648,200525.34380340576,1675.3502547740936,4,True,ok,174.26508038065893,2.2079998254776,1.0048552606749692,1.0034254082844556
V_8 generic,light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,117.97615240620341,176289.25703430176,1494.2787456512451,4,True,ok,168.1027694111942,2.4843330681324005,0.9904534867361979,0.9679425715221848
V_8 generic,light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,119.28216756469875,221924.2614517212,1860.4982285499573,4,True,ok,173.27716254230953,2.7596665173768997,1.0014179676171155,0.9977369372601294
V_8 generic,light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,117.79789282346215,174590.44567871094,1482.118580341339,4,True,ok,169.64447757707808,3.0354995280504227,0.9889569315284784,0.9768197897372644
V_8 generic,light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,118.52425250504652,187004.49365615845,1577.7740817070007,4,True,ok,175.66541381362234,3.310333415865898,0.995054990030783,1.0114885850473294
V_8 generic,light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,117.05105625250124,156422.44482421875,1336.3608140945435,4,True,ok,174.46188878337483,3.5864996910095215,0.9826869619571412,1.0045586390580428
V_8 generic,light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,120.36038682178352,170918.1307373047,1420.0530195236206,4,True,ok,176.70043108465563,3.8626666367053986,1.010470017551485,1.0174482565173648
V_8 generic,light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,119.62846987050602,185470.78840637207,1550.3900418281555,4,True,ok,177.18130735020716,4.138666614890099,1.0043253037122157,1.0202171615787883
V_8 generic,light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,120.253450658801,209430.39459228516,1741.574927330017,4,True,ok,171.5591894282655,4.414832890033722,1.0095722488641357,0.9878447783168931
V_8 generic,light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,118.92487029355858,127894.95864868164,1075.426513671875,4,True,ok,175.1578038424753,4.691166803240776,0.9984183247165432,1.0085657462236541
V_8 generic,light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,118.34546213323149,219931.70593070984,1858.3873176574707,4,True,ok,173.71249826739944,4.968332871794701,0.9935539786522347,1.000243618040553
V_8 generic,light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,119.05036423935442,196556.83554077148,1651.0393462181091,4,True,ok,174.37813015105164,5.2435000240802765,0.99947189286267,1.0040763534523858
V_8 generic,light_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.676017361,121.1719501066232,203771.92554092407,1681.6757125854492,4,True,ok,175.74234722953457,5.5195000022649765,1.0172833918545299,1.011931570779777
V_8 generic,light_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.676209028,119.2547391320783,208552.9726257324,1748.8023884296417,4,True,ok,170.40874057797132,5.7954999804496765,1.0011876957683516,0.9812204471267589
V_8 generic,light_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.6764001157,117.79591350005212,220583.2804965973,1872.5885639190674,4,True,ok,174.03960643096494,6.070666462182999,0.9889403143754958,1.0021271201274995
V_8 generic,light_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6765917824,123.41626210036964,158948.5138130188,1287.9057517051697,4,True,ok,176.93736500806907,6.346666440367699,1.0361252221244002,1.0188125316682914
V_8 generic,light_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.676783449,113.86468178708425,221125.41875839233,1942.0018155574799,4,True,ok,172.68470524685384,6.622666418552399,0.9559361683861389,0.9943255440981422
V_8 generic,light_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.676976158,119.15307489120981,227065.96070480347,1905.6659755706785,4,True,ok,172.93173822466662,6.900167092680931,1.0003341868193745,0.9957479700143387
V_8 generic,light_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6771674766,119.47933992458621,197368.7423171997,1651.9068689346313,4,True,ok,175.3190334196579,7.1756661683321,1.0030733025924938,1.009494112675261
V_8 generic,light_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.677359375,122.93702335049421,172898.94860839844,1406.4025945663452,4,True,ok,177.15231811864882,7.452000081539154,1.0321018353541749,1.0200502404064642
V_8 generic,light_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.677550463,117.35671403805557,224322.55504989624,1911.4590663909912,4,True,ok,174.9253313736978,7.727166563272476,0.9852530722538051,1.0072271603096636
V_8 generic,light_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.677741667,118.62686843389055,193333.1411743164,1629.7584495544434,4,True,ok,169.1969961271503,8.002500012516975,0.9959164887527306,0.9742431733800878
V_8 generic,light_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6779328706,118.3849605131994,207404.0467529297,1751.9459047317505,4,True,ok,173.27341515828923,8.277833461761475,0.9938855821785555,0.9977153596707905
V_8 generic,light_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6781244213,117.50145326622858,153637.23175048828,1307.5347366333008,4,True,ok,177.54211607104403,8.553666472434998,0.9864682116721333,1.0222947128428022
V_8 generic,light_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.678316204,118.35589999755639,216752.25330352783,1831.3599348068237,4,True,ok,170.8034061852944,8.829833418130875,0.9936416083884468,0.9834929477178064
V_8 generic,light_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.6785078705,117.64901483589972,197608.60961914065,1679.645255804062,4,True,ok,173.627879885069,9.105833396315575,0.9877070456924684,0.9997563819594469
V_8 generic,light_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.678699537,118.49573594174237,216168.37565612793,1824.271345615387,4,True,ok,173.25283466793823,9.381833374500275,0.994815582921988,0.9975968563717472
V_8 generic,light_V_8s_2026_05_20-0036_flat_0p3_late_bias_cal.fits,2461181.6788909724,118.7307310660291,213440.9463691711,1797.6891446113586,4,True,ok,171.70705415870606,9.657500088214874,0.9967884540104975,0.9886961894383242
V_8 generic,light_V_8s_2026_05_20-0037_flat_0p3_late_bias_cal.fits,2461181.67908206,115.20145619856619,216479.81624603271,1879.1413180828094,4,True,ok,168.95275133664174,9.932666569948196,0.9671588845862173,0.972836801959594
V_8 generic,light_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.6792738424,120.5897972206298,178990.2028274536,1484.2897737026215,4,True,ok,175.5539951545921,10.20883284509182,1.0123960028018641,1.0108470318848501
V_8 generic,light_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.6794653935,120.52708574893187,227040.60580444336,1883.7309837341309,4,True,ok,,10.484666526317596,1.011869516774521,
V_8 generic,light_V_8s_2026_05_20-0040_flat_0p3_late_bias_cal.fits,2461181.679657176,118.55096946802456,213038.4981994629,1797.0202956199646,4,True,ok,171.0249727936096,10.760833472013474,0.9952792888284374,0.9847687372444589
V_8 generic,light_V_8s_2026_05_20-0041_flat_0p3_late_bias_cal.fits,2461181.679848843,119.66188889110015,198913.84814453125,1662.2990827560425,4,True,ok,174.5606230177201,11.036833450198174,1.0046058687653698,1.0051271547881773
V_8 generic,light_V_8s_2026_05_20-0042_flat_0p3_late_bias_cal.fits,2461181.6800405094,120.10807275965975,196983.48907470703,1640.0520343780518,4,True,ok,169.7514248026638,11.312833428382874,1.0083517475665256,0.9774355962044224
V_8 generic,light_V_8s_2026_05_20-0043_flat_0p3_late_bias_cal.fits,2461181.6802317128,118.2150312538355,192641.7296447754,1629.587435722351,4,True,ok,173.02966061008678,11.588166207075119,0.9924589631203582,0.9963118110854
V_8 generic,light_V_8s_2026_05_20-0044_flat_0p3_late_bias_cal.fits,2461181.6804236113,121.58123712747253,228688.0346069336,1880.9484095573425,4,True,ok,174.28456001783724,11.864500120282173,1.020719507956031,1.003537572826234
V_8 generic,light_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.680614699,118.03867831370725,160770.29280090332,1362.013664484024,4,True,ok,172.8997416176125,12.139666602015495,0.9909784148834162,0.9955637322518055
V_8 generic,light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,121.01593026257913,210633.095703125,1740.540235042572,4,True,ok,171.45945763373555,12.414666786789894,1.0159735474886837,0.9872705185947125
V_8 generic,light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,119.91469130583187,217711.7915153503,1815.5556182861326,4,True,ok,171.27681056458792,12.690833061933517,1.006728238651313,0.9862188293547851
V_8 generic,light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,120.71972059276398,143570.20705413818,1189.285448551178,4,True,ok,173.16831648414788,12.966833040118217,1.0134867576223447,0.9971101972379033
