set,sequence,N,med_ncomp,target_mad_pct,check_mad_pct,median_abs_diff_flux,median_ratio_named_over_v8,linear_slope_norm_per_span,linear_F_p,linear_rms_pct,constant_rms_pct
all_common_8,V0399 named,107,8.0,1.3727152142213657,1.6899450874194908,158.36706112919657,1.0030729362369915,0.0014155687102779257,0.5093096022412203,1.451078209574448,1.4527733560759875
all_common_8,V_8 generic,83,8.0,1.5788901282501555,1.7569234183371327,157.88190011716148,1.0030729362369915,0.0014155687102779257,0.5093096022412203,1.451078209574448,1.4527733560759875
prior_overlap_src2_src7_src8,V0399 named,107,3.0,2.1557380991703226,1.9562990019099773,200.2025961027779,0.9977494297280558,0.0029430640857516233,0.5321969352008269,3.1873654486897838,3.190701479920711
prior_overlap_src2_src7_src8,V_8 generic,83,3.0,1.7608910965722768,2.5848564332129205,200.65418244072026,0.9977494297280558,0.0029430640857516233,0.5321969352008269,3.1873654486897838,3.190701479920711
v8_balanced_common_src2_src1_src5_src4,V0399 named,107,4.0,1.088102941622281,1.5836387793144262,119.1845663439356,1.0005985692264838,0.0044673532268701965,0.020133800052912945,1.2917938416975063,1.3106321517039237
v8_balanced_common_src2_src1_src5_src4,V_8 generic,83,4.0,1.3719319195363118,1.1905538069609656,119.11326880676198,1.0005985692264838,0.0044673532268701965,0.020133800052912945,1.2917938416975063,1.3106321517039237
bright_common_src1_src2_src3_src4_src5,V0399 named,107,5.0,1.6866324268362973,2.064063921721421,145.70994205648364,1.0078146160357515,0.013337541204280434,0.00025231182460248316,2.4225087061925574,2.5110830774020756
bright_common_src1_src2_src3_src4_src5,V_8 generic,83,5.0,2.3871243932834973,2.160413574937634,144.5801040568702,1.0078146160357515,0.013337541204280434,0.00025231182460248316,2.4225087061925574,2.5110830774020756
