period_days,frequency_cpd,power
0.25,4.0,0.8183808925592129
0.09931690273134318,10.06877955814879,0.8083089927018082
0.061967240075984226,16.13755911629758,0.7871486589573666
0.045032187190351014,22.206338674446368,0.7504894754550591
0.03536678403159475,28.275118232595158,0.6925458912126882
0.0291172541361776,34.34389779074395,0.6094949557973388
0.024744710462183694,40.412677348892736,0.506819744502805
0.021513955597388106,46.481456907041526,0.40484819294246976
0.019029410089570344,52.550236465190316,0.32908628348923497
0.017059310575971643,58.61901602333911,0.29049197700111284
0.015458866560699063,64.6877955814879,0.28166208987537505
0.014132962173854798,70.75657513963668,0.28903410453616446
0.013016536063306005,76.82535469778547,0.3018795132014574
0.012063579757193877,82.89413425593426,0.3134203321081031
0.011240639016049152,88.96291381408305,0.31915053857436626
0.01052280522965193,95.03169337223184,0.3158010688966362
0.009891150565523227,101.10047293038063,0.30150456324283
0.009331034571758653,107.16925248852942,0.2764710856080139
0.008830955306497969,113.23803204667821,0.2433964531424904
0.008381751104976652,119.306811604827,0.20707349431090946
0.007976034176382063,125.3755911629758,0.1729872861001847
0.007607781105526559,131.44437072112459,0.14532841094474142
0.007272031787280818,137.51315027927336,0.12553384620159466
0.0069646647118638124,143.58192983742217,0.11221872376133621
0.006682226927215595,149.65070939557094,0.1022938301232191
0.006421803762130267,155.71948895371975,0.09241184189926446
0.006180917869991554,161.78826851186852,0.080121177652101
0.005957450172618758,167.85704807001733,0.06456490285142788
0.005749577355111903,173.9258276281661,0.04671283755587351
0.005555722005409229,179.9946071863149,0.029048875731107687
0.00537451251155276,186.06338674446368,0.014658110242205426
0.005204750559180067,192.1321663026125,0.005943723132179072
0.005045384600245616,198.20094586076127,0.003583782578009492
0.004895488051150169,204.26972541891004,0.0063320098167752945
0.004754241265093463,210.33850497705885,0.011707951998969365
0.004620916537757806,216.40728453520762,0.01705980472742812
0.004494865567112764,222.47606409335643,0.02044902671650013
0.004375508911173871,228.5448436515052,0.02112716276616019
0.004262327081946073,234.613623209654,0.019605043451957873
0.004154852986758426,240.68240276780278,0.01734295390243127
0.004052665485018942,246.7511823259516,0.016109563018830753
0.0039553838729650135,252.81996188410037,0.017203081950180433
0.00386266314413318,258.88874144224917,0.020876554326605606
0.003774189901174755,264.95752100039795,0.026234438733768625
0.0036896788169234573,271.0263005585467,0.031590982621625706
0.0036088695605091974,277.09508011669556,0.03507544989340523
0.003531524118749812,283.16385967484433,0.035267479951844254
0.00345742445476371,289.2326392329931,0.03170735745389589
