raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V_8s_2026_05_20-0056.fit,light_V_8s_2026_05_20-0056_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6827226854,62299.0,61395.41444174764
light_V_8s_2026_05_20-0057.fit,light_V_8s_2026_05_20-0057_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.682914352,45843.0,44938.495335692496
light_V_8s_2026_05_20-0058.fit,light_V_8s_2026_05_20-0058_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.68310625,46862.0,46034.275541944095
light_V_8s_2026_05_20-0059.fit,light_V_8s_2026_05_20-0059_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.683298148,58459.0,57592.4506306111
light_V_8s_2026_05_20-0060.fit,light_V_8s_2026_05_20-0060_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.683489236,44159.0,43350.208871181676
light_V_8s_2026_05_20-0061.fit,light_V_8s_2026_05_20-0061_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.683680787,51033.0,50080.32171272119
light_V_8s_2026_05_20-0062.fit,light_V_8s_2026_05_20-0062_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.683872454,55546.0,54679.57035147614
light_V_8s_2026_05_20-0063.fit,light_V_8s_2026_05_20-0063_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6840641205,43746.0,43002.785596672795
light_V_8s_2026_05_20-0064.fit,light_V_8s_2026_05_20-0064_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.684255671,51584.0,50684.516696998035
light_V_8s_2026_05_20-0065.fit,light_V_8s_2026_05_20-0065_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.684446991,50920.0,50071.497091040525
light_V_8s_2026_05_20-0066.fit,light_V_8s_2026_05_20-0066_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.684639352,41956.0,41251.059301577
light_V_8s_2026_05_20-0067.fit,light_V_8s_2026_05_20-0067_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6848310186,58057.0,57278.37261322978
light_V_8s_2026_05_20-0068.fit,light_V_8s_2026_05_20-0068_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6850228007,57433.0,56678.34425484352
light_V_8s_2026_05_20-0069.fit,light_V_8s_2026_05_20-0069_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.685213773,56904.0,55829.87673234549
light_V_8s_2026_05_20-0070.fit,light_V_8s_2026_05_20-0070_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.685405671,47837.0,47038.02808222026
light_V_8s_2026_05_20-0071.fit,light_V_8s_2026_05_20-0071_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6855980325,57437.0,56577.799278783365
light_V_8s_2026_05_20-0072.fit,light_V_8s_2026_05_20-0072_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6857905095,54854.0,53988.01917926273
light_V_8s_2026_05_20-0073.fit,light_V_8s_2026_05_20-0073_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.68598206,42970.0,42195.38465521826
light_V_8s_2026_05_20-0074.fit,light_V_8s_2026_05_20-0074_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.686173727,60965.0,60156.48486273205
light_V_8s_2026_05_20-0075.fit,light_V_8s_2026_05_20-0075_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.686365625,58365.0,57667.603459190635
light_V_8s_2026_05_20-0076.fit,light_V_8s_2026_05_20-0076_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.686557176,42168.0,41496.971213672776
light_V_8s_2026_05_20-0077.fit,light_V_8s_2026_05_20-0077_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6867488427,57476.0,56869.93583166408
light_V_8s_2026_05_20-0078.fit,light_V_8s_2026_05_20-0078_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6869399305,65370.0,64537.12885894339
light_V_8s_2026_05_20-0079.fit,light_V_8s_2026_05_20-0079_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6871314817,50721.0,50027.147747155905
light_V_8s_2026_05_20-0080.fit,light_V_8s_2026_05_20-0080_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.687323264,58467.0,57516.70191995244
light_V_8s_2026_05_20-0081.fit,light_V_8s_2026_05_20-0081_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6875149305,50355.0,49467.16193798715
light_V_8s_2026_05_20-0082.fit,light_V_8s_2026_05_20-0082_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.687706597,48366.0,47686.236047043465
light_V_8s_2026_05_20-0083.fit,light_V_8s_2026_05_20-0083_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6878975695,62786.0,61766.971051538356
