window,min_period_min,max_period_min,best_period_min,best_period_s,best_power,false_alarm_probability,half_power_width_min,family,iteration,experiment
bootstrap,5,90,10.962656473435096,657.7593884061058,0.17698301945615846,0.0027402271764553083,6.027161110520209,half_period_family,0,row_resample
bootstrap,5,90,8.818695060064245,529.1217036038547,0.15310185556327224,0.017777969036890464,13.200009878604114,half_period_family,1,row_resample
bootstrap,5,90,8.628616279626222,517.7169767775733,0.17336517882882088,0.0036667586917185687,13.219229907056413,half_period_family,2,row_resample
bootstrap,5,90,8.765982155295557,525.9589293177335,0.19065414456472046,0.0009191196496593318,10.89001585987633,half_period_family,3,row_resample
bootstrap,5,90,8.643260839895476,518.5956503937285,0.22275672973109406,6.255556629673954e-05,12.044854829291468,half_period_family,4,row_resample
bootstrap,5,90,18.424350776951837,1105.4610466171102,0.2286081734703603,3.828482475246579e-05,13.16865360263433,long_period_family,5,row_resample
bootstrap,5,90,8.731587490668424,523.8952494401054,0.3189848300697642,1.1401383879657278e-08,11.821551927750443,half_period_family,6,row_resample
bootstrap,5,90,8.932774091339265,535.9664454803559,0.19024906052583676,0.0009206474059706772,14.325482392590436,half_period_family,7,row_resample
bootstrap,5,90,8.714352507226016,522.861150433561,0.1359328289507662,0.059254121669179045,40.10971822153416,half_period_family,8,row_resample
bootstrap,5,90,18.836588311562696,1130.1952986937617,0.24358110683114825,1.131326929504637e-05,2.9829807653571088,long_period_family,9,row_resample
bootstrap,5,90,8.800669868694824,528.0401921216894,0.17030281812440912,0.004273892418083887,68.96342239222585,half_period_family,10,row_resample
bootstrap,5,90,18.039622609224022,1082.3773565534414,0.23650148844086644,1.9877783611939296e-05,55.0219349510804,long_period_family,11,row_resample
bootstrap,5,90,17.512519607488958,1050.7511764493374,0.18119249757424283,0.0018047263106431902,10.385018469829843,long_period_family,12,row_resample
bootstrap,5,90,8.70721291369241,522.4327748215446,0.1763991491402668,0.002753458708472998,13.529941111137905,half_period_family,13,row_resample
bootstrap,5,90,18.232756219018817,1093.965373141129,0.18471531250505363,0.0014238702886317717,12.532297074114277,long_period_family,14,row_resample
bootstrap,5,90,8.6635404954404,519.8124297264239,0.25403918799872255,4.43559097678607e-06,10.986324768768396,half_period_family,15,row_resample
bootstrap,5,90,8.579010360309953,514.7406216185972,0.21347052227773977,0.0001320074654761966,41.82234067062218,half_period_family,16,row_resample
bootstrap,5,90,11.128296968800198,667.6978181280119,0.1583684590540386,0.01144785560872024,56.1731701774527,half_period_family,17,row_resample
bootstrap,5,90,18.859369634823455,1131.5621780894073,0.2006334670550978,0.0004174374296754894,14.902368525180293,long_period_family,18,row_resample
bootstrap,5,90,8.765982155295557,525.9589293177335,0.29882379828630523,7.725519296618529e-08,0.5166779036854887,half_period_family,19,row_resample
bootstrap,5,90,18.266284488104258,1095.9770692862555,0.23523560557712517,2.1763699035922376e-05,48.50952482747712,long_period_family,20,row_resample
bootstrap,5,90,8.818853888225238,529.1312332935142,0.19097983991092612,0.0008319126292979188,62.47587294605141,half_period_family,21,row_resample
bootstrap,5,90,8.697420639195864,521.8452383517518,0.20870672017530034,0.00021849280193740554,69.05973130111792,half_period_family,22,row_resample
bootstrap,5,90,17.188032424405996,1031.2819454643598,0.196784810917128,0.000533032586147813,54.991137293787986,long_period_family,23,row_resample
bootstrap,5,90,8.84192810217686,530.5156861306116,0.1933232782636382,0.0006753094609213609,10.531693359789518,half_period_family,24,row_resample
bootstrap,5,90,8.59656595153282,515.7939570919692,0.19050830174644698,0.0009364230813951677,18.73377381775801,half_period_family,25,row_resample
bootstrap,5,90,8.835633197002942,530.1379918201765,0.17718126821912247,0.002509087148065819,41.211231797744475,half_period_family,26,row_resample
bootstrap,5,90,8.714352507226016,522.861150433561,0.16750769920712677,0.005391124311486183,12.875264115252905,half_period_family,27,row_resample
bootstrap,5,90,8.806632826123515,528.3979695674109,0.16714544815347154,0.00555674723502099,12.211515242030016,half_period_family,28,row_resample
bootstrap,5,90,18.578257121267516,1114.6954272760509,0.1321731647548991,0.07926258815289301,62.3831892309474,long_period_family,29,row_resample
bootstrap,5,90,8.765664538660962,525.9398723196578,0.1758760490632559,0.003072550227280246,11.858330345786735,half_period_family,30,row_resample
bootstrap,5,90,8.800669868694824,528.0401921216894,0.22997474252622585,3.4533063928953815e-05,10.236732954551146,half_period_family,31,row_resample
bootstrap,5,90,8.78363767713654,527.0182606281924,0.16049639791657144,0.009612807788032854,84.38565621526345,half_period_family,32,row_resample
bootstrap,5,90,8.800669868694824,528.0401921216894,0.159499234107066,0.01081445393238319,11.312137282913266,half_period_family,33,row_resample
bootstrap,5,90,8.731566810603427,523.8940086362056,0.23114283644841405,3.1164838737056725e-05,11.47512918437989,half_period_family,34,row_resample
bootstrap,5,90,8.765982155295557,525.9589293177335,0.24649554250678152,8.093905205811031e-06,74.76329189805281,half_period_family,35,row_resample
bootstrap,5,90,8.731566810603427,523.8940086362056,0.21150852164370926,0.00015927666899969166,12.182361883492423,half_period_family,36,row_resample
bootstrap,5,90,19.24854085662076,1154.9124513972456,0.16447651405853747,0.00700325938645965,14.068404219468785,long_period_family,37,row_resample
bootstrap,5,90,8.684290259856162,521.0574155913697,0.23004985865384173,3.484745185098871e-05,14.190265310150966,half_period_family,38,row_resample
bootstrap,5,90,8.72483238238562,523.4899429431372,0.17053328940876447,0.004179346892629038,12.219434924136893,half_period_family,39,row_resample
bootstrap,5,90,8.68011820211332,520.8070921267993,0.22237000193099604,6.537380247708538e-05,12.32130392642586,half_period_family,40,row_resample
bootstrap,5,90,8.731566810603427,523.8940086362056,0.22683610458138515,4.755049084492625e-05,39.11407724983005,half_period_family,41,row_resample
bootstrap,5,90,8.702417694097363,522.1450616458418,0.26535416649514443,1.5361858863879702e-06,11.299073026053014,half_period_family,42,row_resample
bootstrap,5,90,8.696991763101417,521.8195057860851,0.2526866031753126,5.1126625001242395e-06,9.717017522889124,half_period_family,43,row_resample
bootstrap,5,90,8.731566810603427,523.8940086362056,0.20277728701467307,0.0003338306319884198,11.410679774686608,half_period_family,44,row_resample
bootstrap,5,90,8.736880930221654,524.2128558132993,0.15659027154638674,0.013335821164142267,11.282802116374013,half_period_family,45,row_resample
bootstrap,5,90,8.634300493223833,518.05802959343,0.16749650042942704,0.005367538960984888,12.732142748600001,half_period_family,46,row_resample
bootstrap,5,90,8.783166823698775,526.9900094219265,0.20847720798901673,0.00022187849469237198,12.173693209102865,half_period_family,47,row_resample
bootstrap,5,90,18.615470734962386,1116.9282440977431,0.21385914564163602,0.00013200923664627472,5.147425151561588,long_period_family,48,row_resample
bootstrap,5,90,8.765982155295557,525.9589293177335,0.21543482784854465,0.00011922317982442913,63.88635909648344,half_period_family,49,row_resample
bootstrap,5,90,8.731566810603427,523.8940086362056,0.18961322597328878,0.0009394372666370682,13.042688305071058,half_period_family,50,row_resample
bootstrap,5,90,18.999885007068855,1139.9931004241312,0.18859284591382586,0.0009900762165344027,41.09329404993847,long_period_family,51,row_resample
bootstrap,5,90,18.15587893663449,1089.3527361980694,0.16692244589927108,0.005588533596515614,12.570266343261608,long_period_family,52,row_resample
bootstrap,5,90,18.51827345227684,1111.0964071366104,0.2728091149464272,7.623252547439195e-07,3.0699953479197895,long_period_family,53,row_resample
bootstrap,5,90,17.577265781638395,1054.6359468983037,0.18266143595289502,0.0017246825309131808,4.303496795371913,long_period_family,54,row_resample
bootstrap,5,90,16.544528332267863,992.6716999360717,0.17089447992569543,0.003929241844995536,13.477963649214496,long_period_family,55,row_resample
bootstrap,5,90,8.800669868694824,528.0401921216894,0.19753117940948597,0.0005047249845824833,11.027922439650629,half_period_family,56,row_resample
bootstrap,5,90,8.772175284547764,526.3305170728659,0.1926813092041562,0.0007804872720480721,11.625209145091663,half_period_family,57,row_resample
bootstrap,5,90,8.714352507226016,522.861150433561,0.16623688890724123,0.005822836459169371,80.9336267315018,half_period_family,58,row_resample
bootstrap,5,90,19.257361050730815,1155.4416630438488,0.21285554739988116,0.0001464326172076345,35.54999640836241,long_period_family,59,row_resample
bootstrap,5,90,8.765982155295557,525.9589293177335,0.21979710888645382,8.245030945385268e-05,11.960080162521765,half_period_family,60,row_resample
bootstrap,5,90,8.78363767713654,527.0182606281924,0.22240509448640502,6.667035127154877e-05,11.506388230430753,half_period_family,61,row_resample
bootstrap,5,90,8.766459553873053,525.9875732323832,0.14245543603879515,0.036771543830022776,13.814592754323234,half_period_family,62,row_resample
bootstrap,5,90,17.646442989439965,1058.786579366398,0.18483368951291557,0.0014063415132731924,10.797034802588039,long_period_family,63,row_resample
bootstrap,5,90,17.69154753584172,1061.4928521505033,0.22489456147842263,5.4073954859447196e-05,9.496309753817059,long_period_family,64,row_resample
bootstrap,5,90,8.789478240530945,527.3686944318567,0.22102368630770358,7.374566172838852e-05,13.173810937940878,half_period_family,65,row_resample
bootstrap,5,90,18.615470734962386,1116.9282440977431,0.17001831274953128,0.00446069677060593,12.372210812427598,long_period_family,66,row_resample
bootstrap,5,90,18.27297346916354,1096.3784081498122,0.18815570664618983,0.0010016820620011905,11.675065751266501,long_period_family,67,row_resample
bootstrap,5,90,8.75333215882861,525.1999295297165,0.22796402686854111,4.3155258430338296e-05,77.87705454870644,half_period_family,68,row_resample
bootstrap,5,90,8.835633197002942,530.1379918201765,0.16682140489541353,0.005708324944514081,12.244966153823448,half_period_family,69,row_resample
bootstrap,5,90,8.766459553873053,525.9875732323832,0.2381055659544034,1.8144232344978273e-05,11.133044147678511,half_period_family,70,row_resample
bootstrap,5,90,18.188350435355005,1091.3010261213003,0.20788858348183764,0.00022628174027929812,59.21467207607782,long_period_family,71,row_resample
bootstrap,5,90,17.624763842721098,1057.4858305632658,0.15627689716728124,0.012436570047362205,32.12603821850154,long_period_family,72,row_resample
bootstrap,5,90,8.71954061653375,523.172436992025,0.2067637013506194,0.0002519129232141552,11.776782579948069,half_period_family,73,row_resample
bootstrap,5,90,18.21053806172945,1092.6322837037671,0.259426889730403,2.7862804014511673e-06,11.244065507379807,long_period_family,74,row_resample
bootstrap,5,90,19.608180474625538,1176.4908284775322,0.16404973651295823,0.007193106387494206,24.077129136151648,long_period_family,75,row_resample
bootstrap,5,90,17.69154753584172,1061.4928521505033,0.17303957671920164,0.003522385601888373,13.335455268360002,long_period_family,76,row_resample
bootstrap,5,90,18.51827345227684,1111.0964071366104,0.2306358388560567,3.2094749396493273e-05,13.591065199015075,long_period_family,77,row_resample
bootstrap,5,90,18.67607464146193,1120.5644784877159,0.19904837866550323,0.00045307419550218354,57.32302347501293,long_period_family,78,row_resample
bootstrap,5,90,8.736880930221654,524.2128558132993,0.14813807803860476,0.02470316423140224,11.894775356559535,half_period_family,79,row_resample
bootstrap,5,90,18.923365626597107,1135.4019375958264,0.24957821461063587,6.3717882895610694e-06,12.476418346005092,long_period_family,80,row_resample
bootstrap,5,90,18.15587893663449,1089.3527361980694,0.15537759650087254,0.013711491495697375,11.428936770081705,long_period_family,81,row_resample
bootstrap,5,90,19.26571860913045,1155.943116547827,0.15148988556964854,0.01789309600814651,81.65947970924698,long_period_family,82,row_resample
bootstrap,5,90,18.459709778355162,1107.5825867013098,0.16100018181290893,0.009554782651664496,60.20968315951387,long_period_family,83,row_resample
bootstrap,5,90,8.742300436310058,524.5380261786036,0.24428451711761415,1.0934239146341846e-05,11.952786301867263,half_period_family,84,row_resample
bootstrap,5,90,17.97756064683248,1078.6536388099487,0.12863243259925175,0.10285254659821252,35.957729732151236,long_period_family,85,row_resample
bootstrap,5,90,17.883620899329163,1073.0172539597497,0.1843423542056378,0.0014974120514126084,14.076706447200127,long_period_family,86,row_resample
bootstrap,5,90,8.835633197002942,530.1379918201765,0.23834150336136056,1.7185848091643952e-05,40.123061177713396,half_period_family,87,row_resample
bootstrap,5,90,11.008754876399522,660.5252925839713,0.15073758974193643,0.02147433871038934,83.64477303070015,half_period_family,88,row_resample
bootstrap,5,90,8.612450237350853,516.7470142410511,0.17982524827545776,0.002231494528029163,6.998770563595055,half_period_family,89,row_resample
bootstrap,5,90,18.737912590221345,1124.2747554132807,0.1666492175810375,0.005822484670155325,12.329768539138785,long_period_family,90,row_resample
bootstrap,5,90,17.86188772830176,1071.7132636981055,0.2020843552063764,0.0003695026088472818,10.939955199632484,long_period_family,91,row_resample
bootstrap,5,90,17.14598125614478,1028.7588753686869,0.2086765298575651,0.00021563002141095831,10.492334947069295,long_period_family,92,row_resample
bootstrap,5,90,8.78363767713654,527.0182606281924,0.23658949414519656,1.994463138175878e-05,0.6194283029756829,half_period_family,93,row_resample
bootstrap,5,90,10.948057200689556,656.8834320413733,0.19129811845935388,0.0008733732371873144,81.26311906977834,half_period_family,94,row_resample
bootstrap,5,90,18.89391474010743,1133.6348844064457,0.15986741362072976,0.010093316464300008,18.13423887609681,long_period_family,95,row_resample
bootstrap,5,90,8.731587490668424,523.8952494401054,0.23886500398756952,1.5965202012521905e-05,11.389395014214669,half_period_family,96,row_resample
bootstrap,5,90,8.754369749910422,525.2621849946254,0.25029857642000586,5.9373890617847025e-06,10.884545457830633,half_period_family,97,row_resample
bootstrap,5,90,8.765982155295557,525.9589293177335,0.2500618504399939,6.264695004335971e-06,11.773608243039844,half_period_family,98,row_resample
bootstrap,5,90,10.948057200689556,656.8834320413733,0.16504671066724755,0.006774203751395081,68.9380127186766,half_period_family,99,row_resample
bootstrap,5,90,17.69154753584172,1061.4928521505033,0.2103926798584206,0.000186794870565653,81.43653449951633,long_period_family,100,row_resample
bootstrap,5,90,8.835633197002942,530.1379918201765,0.1921822977761518,0.0008427160965082175,13.9415400910575,half_period_family,101,row_resample
bootstrap,5,90,10.81644698338346,648.9868190030076,0.1510718594232724,0.019284953105921432,40.876987008735554,half_period_family,102,row_resample
bootstrap,5,90,17.59873712863076,1055.9242277178455,0.1936397883935582,0.000693553971219531,51.971445012636835,long_period_family,103,row_resample
bootstrap,5,90,8.736880930221654,524.2128558132993,0.22046654010626204,8.394238279080696e-05,11.347817725198265,half_period_family,104,row_resample
bootstrap,5,90,8.765982155295557,525.9589293177335,0.1803476185687336,0.0019864824614659183,11.027922439650629,half_period_family,105,row_resample
