window,min_period_min,max_period_min,best_period_min,best_period_s,best_power,false_alarm_probability,half_power_width_min,family
residual_5_to_90min,5.0,90.0,20.458103622281243,1227.4862173368747,0.07427239585971446,0.9889245499530145,71.06525145007255,long_period_family
residual_115_to_120s,1.85,2.05,1.9912656191822413,119.47593715093448,0.02434004620992085,1.0,0.07465187534535,115_120s_candidate
residual_26p3s,0.38,0.5,0.4056923855029622,24.341543130177733,0.07048888733004863,0.9968666481185295,0.05136979021831539,very_fast_26s_candidate
