model,N_monte_carlo,period_median_s,minus_1sigma_s,plus_1sigma_s,period_p2p5_s,period_p97p5_s
single_sine_free,250,524.3835616438356,3.835616438356169,5.753424657534197,515.2260273972602,633.1232876712331
double_wave_free,250,1055.1170568561874,9.632107023411436,13.09966555183928,1036.2140468227426,1178.3678929765886
