experiment,N,period_median_min,period_p16_min,period_p84_min,period_p2p5_min,period_p97p5_min,fap_median,fap_p16,fap_p84,fap_below_0p05_frac,half_family_frac,long_family_frac
row_resample,10000,8.835633197002942,8.707514174229619,18.481983980482475,8.59483013369288,19.682401626769813,0.00046439236130236216,1.0194900124081895e-05,0.009576284858176605,0.95,0.5962,0.3869
perturb_formal_errors,10000,8.765982155295557,8.731566810603427,18.424350776951837,8.6635404954404,18.89391474010743,0.05401462285311512,0.008983683500019499,0.2279739016373762,0.4821,0.6463,0.353
perturb_scaled_errors,10000,8.835633197002942,8.697420639195864,18.578257121267516,8.629923282528672,19.732068968561816,0.25345618135615877,0.032741008782107964,0.8022283054269413,0.2084,0.5731,0.4112
block_resample_10min,10000,8.906399943148797,8.730845352028398,18.27297346916354,8.537499903282521,19.220484248278158,0.00010182844510080538,6.67593963824991e-07,0.00412985987468392,0.9729,0.6131,0.3862
