experiment,error_model,best_period_min,best_period_s,min_chi2,delta_chi2_threshold,lo_period_min,hi_period_min,minus_min,plus_min,minus_s,plus_s
sine_half_period_family,formal_delta_chi2_1,8.750291715285881,525.0175029171529,383.7607204836648,1.0,8.707284547424571,8.792798799799966,0.04300716786130998,0.042507084514085136,2.580430071678599,2.550425070845108
sine_half_period_family,scaled_to_reduced_chi2_1,8.750291715285881,525.0175029171529,383.7607204836648,2.842925684735115,8.677279546591098,8.822803800633439,0.07301216869478289,0.07251208534755804,4.380730121686973,4.3507251208534825
double_wave_long_period_family,formal_delta_chi2_1,17.586597766294382,1055.1958659776628,336.46364515121076,1.0,17.497582930488413,17.6766127687948,0.08901483580596903,0.09001500250041872,5.340890148358142,5.400900150025123
double_wave_long_period_family,scaled_to_reduced_chi2_1,17.586597766294382,1055.1958659776628,336.46364515121076,2.5298018432421863,17.444574095682615,17.731621936989498,0.14202367061176702,0.14502417069511608,8.521420236706021,8.701450241706965
