feature_set,features,period_min,period_s,N,k,chi2,reduced_chi2,bic_chi2,rms_pct,crossval_rmse_pct,first_second_period_diff_s,delta_bic_vs_no_systematics,delta_cv_vs_no_systematics_pct
none,,17.587242026266416,1055.234521575985,138,5,336.4636592253926,2.529801949063102,361.0999276511786,1.4317158858994319,1.5233550900860342,22.66094420600848,0.0,0.0
linear_time,time_min,17.58223889931207,1054.9343339587242,138,6,336.2881660385924,2.547637621504488,365.8516881495356,1.431844023366331,1.5513739524693908,20.60085836909866,4.751760498357044,0.028018862383356602
tracking,dx;dy;shift_scatter,17.57223264540338,1054.3339587242026,138,8,334.72276158333625,2.574790473717971,374.1407910645939,1.4273837924562238,1.9509475358424462,17.854077253218748,13.040863413415309,0.427592445756412
observing_state,exptime;n_comparisons;common_mode,17.5422138836773,1052.532833020638,138,8,333.6418996513927,2.5664761511645593,373.0599291326503,1.4243892011903918,1.6113088294582418,21.287553648068524,11.96000148147175,0.08795373937220763
tracking_plus_observing,time_min;dx;dy;shift_scatter;exptime;n_comparisons;common_mode,17.57223264540338,1054.3339587242026,138,12,324.6290097870609,2.5764207125957217,383.7560540089474,1.4069439138627333,2.4961845986699593,32.96137339055804,22.656126357768812,0.9728295085839251
