bootstrap,fit_space,family,weight,model_period_mean_min,model_period_sigma_min,model_period_mean_s,model_period_sigma_s
row_resample,period_min,half_period_family,0.5499411279795426,8.752944560970265,0.07007542561363907,525.1766736582159,4.204525536818344
row_resample,period_min,long_period_family,0.45005887202045747,18.652992397776263,7.832994418832461,1119.1795438665758,469.9796651299477
row_resample,frequency_cpd,half_period_family,0.5962670489690552,8.732078731349622,0.6739553576080801,523.9247238809774,40.43732145648481
row_resample,frequency_cpd,long_period_family,0.40373295103094464,18.76237129709369,2.6151291055896873,1125.7422778256214,156.90774633538123
perturb_formal_errors,period_min,half_period_family,0.6453999983772405,8.748561567394338,0.04395638831431592,524.9136940436603,2.637383298858955
perturb_formal_errors,period_min,long_period_family,0.3546000016227595,18.457300545235373,1.6725599338639463,1107.4380327141223,100.35359603183677
perturb_formal_errors,frequency_cpd,half_period_family,0.6454,8.748340727173964,0.04396490986172996,524.9004436304378,2.6378945917037977
perturb_formal_errors,frequency_cpd,long_period_family,0.3546,18.391524327855823,0.9098768395729653,1103.4914596713493,54.59261037437792
perturb_scaled_errors,period_min,half_period_family,0.5483705220412327,8.746894170605525,0.0672318327295599,524.8136502363316,4.033909963773594
perturb_scaled_errors,period_min,long_period_family,0.45162947795876723,18.99038736261209,6.759613251892167,1139.4232417567255,405.57679511353007
perturb_scaled_errors,frequency_cpd,half_period_family,0.5730870643013067,8.7555771180854,0.42586437940821076,525.334627085124,25.551862764492647
perturb_scaled_errors,frequency_cpd,long_period_family,0.4269129356986934,18.764541576034308,2.3782802767814086,1125.8724945620584,142.6968166068845
block_resample_10min,period_min,half_period_family,0.6250958458540367,8.944952466980256,0.805081819638296,536.6971480188154,48.304909178297756
block_resample_10min,period_min,long_period_family,0.37490415414596323,18.229097495261126,0.879955906885687,1093.7458497156676,52.79735441314122
block_resample_10min,frequency_cpd,half_period_family,0.6263015596485524,8.883643591135725,0.8493325138012033,533.0186154681435,50.9599508280722
block_resample_10min,frequency_cpd,long_period_family,0.3736984403514475,18.185341280261678,0.7188048886389607,1091.1204768157006,43.12829331833765
