period_min,model_type,N,k,dof,chi2,reduced_chi2,chi2_p_value,bic_chi2,sse,bic_sse,rms_pct,fundamental_amp_pct,harmonic_amp_pct,delta_chi2
14.0,double_wave,138,5,133,449.4134401621378,3.3790484222717128,5.8242064992264075e-36,474.0497085879238,0.03719504701125041,-1109.5627347827597,1.6417348329388677,0.1528632947529141,0.2740289906937913,112.94976913915264
14.001200240048009,double_wave,138,5,133,449.4143200887695,3.379055038261425,5.8223866623098796e-36,474.0505885145555,0.037195302064512145,-1109.5617884946844,1.641740461767702,0.15255396873040927,0.2741687439083273,112.95064906578432
14.00240048009602,double_wave,138,5,133,449.41525635034384,3.3790620778221343,5.820450938031011e-36,474.05152477612984,0.03719556316097893,-1109.5608197920808,1.6417462239454224,0.15224453856798628,0.274307071779509,112.95158532735866
14.003600720144028,double_wave,138,5,133,449.41624888422825,3.379069540482919,5.8183995714952203e-36,474.05251731001425,0.037195830290509796,-1109.5598287130447,1.641752119246823,0.1519350085902094,0.2744439754026036,112.95257786124307
14.00480096019204,double_wave,138,5,133,449.4172976255732,3.3790774257561895,5.8162328190862196e-36,474.0535660513592,0.03719610344275592,-1109.558815296453,1.6417581474420824,0.15162538314958326,0.2745794558859135,112.95362660258803
14.006001200240048,double_wave,138,5,133,449.4184025073225,3.3790857331377633,5.8139509483983525e-36,474.0546709331085,0.03719638260716175,-1109.5577795819595,1.6417643082967872,0.1513156666266821,0.2747135143508,112.95473148433734
14.007201440288057,double_wave,138,5,133,449.41956346022084,3.3790944621069237,5.811554238171212e-36,474.05583188600684,0.03719666777296568,-1109.5567216099919,1.6417706015719489,0.15100586343027236,0.27484615193172585,112.95589243723566
14.008401680336068,double_wave,138,5,133,449.4207804128221,3.379103612126482,5.809042978221888e-36,474.0570488386081,0.037196958929200816,-1109.5556414217492,1.6417770270240193,0.15069597799742715,0.2749773697762534,112.95710938983694
14.009601920384076,double_wave,138,5,133,449.4220532914982,3.3791131826428433,5.806417469375988e-36,474.0583217172842,0.03719725606469602,-1109.5545390591974,1.641783584404915,0.15038601479366204,0.2751071690451008,112.95838226851299
14.010802160432087,double_wave,138,5,133,449.4233820204455,3.3791231730860565,5.8036780233986664e-36,474.0596504462315,0.03719755916807637,-1109.5534145650681,1.6417902734620275,0.15007597831306158,0.2752355509121732,112.95971099746032
14.012002400480096,double_wave,138,5,133,449.4247665216943,3.379133582869882,5.800824962919361e-36,474.0610349474803,0.03719786822776419,-1109.5522679828543,1.641797093938247,0.14976587307840397,0.27536251656457145,112.96109549870914
14.013202640528105,double_wave,138,5,133,449.42620671511753,3.379144411391861,5.7978586213571815e-36,474.06247514090353,0.03719818323197989,-1109.5510993568073,1.641804045571978,0.14945570364130004,0.27548806720266944,112.96253569213235
14.014402880576116,double_wave,138,5,133,449.42770251843734,3.3791556580333633,5.794779342845603e-36,474.06397094422334,0.03719850416874268,-1109.5499087319336,1.641811128097161,0.14914547458230806,0.27561220404010683,112.96403149545216
14.015603120624125,double_wave,138,5,133,449.4292538472346,3.3791673221596583,5.791587482153366e-36,474.0655222730206,0.037198831025871334,-1109.548696153993,1.6418183412432845,0.1488351905110833,0.2757349283038528,112.9655828242494
14.016803360672135,double_wave,138,5,133,449.4308606149569,3.3791794031199767,5.788283404604824e-36,474.0671290407429,0.03719916379098527,-1109.5474616694928,1.6418256847354116,0.14852485606651022,0.2758562412342458,112.9671895919717
14.018003600720144,double_wave,138,5,133,449.43252273292535,3.379191900247559,5.7848674859989734e-36,474.06879115871135,0.03719950245150494,-1109.5462053256879,1.641833158294189,0.1482144759168326,0.2759761440850283,112.96885170994017
14.019203840768153,double_wave,138,5,133,449.4342401103447,3.3792048128597347,5.78134011252592e-36,474.0705085361307,0.03719984699465298,-1109.5449271705754,1.641840761635871,0.1479040547597898,0.27609463812337875,112.97056908735954
14.020404080816164,double_wave,138,5,133,449.43601265431073,3.3792181402579753,5.777701680680777e-36,474.07228108009673,0.037200197407454984,-1109.5436272528923,1.6418484944723386,0.14759359732277025,0.2762117246299834,112.97234163132555
14.021604320864173,double_wave,138,5,133,449.43784026981837,3.3792318817279576,5.773952597177721e-36,474.07410869560437,0.037200553676740314,-1109.5423056221114,1.6418563565111184,0.14728310836294023,0.27632740489906704,112.97416924683318
14.022804560912183,double_wave,138,5,133,449.4397228597696,3.379246036539621,5.770093278863489e-36,474.0759912855556,0.037200915789142676,-1109.5409623284402,1.6418643474553924,0.14697259266738255,0.27644168023841903,112.97605183678439
14.024004800960192,double_wave,138,5,133,449.4416603249814,3.3792606039472286,5.7661241526273116e-36,474.0779287507674,0.037201283731101265,-1109.5395974228159,1.6418724670040268,0.14666205505325575,0.2765545519694785,112.97798930199622
14.025205041008201,double_wave,138,5,133,449.4436525641966,3.379275583189448,5.7620456553044974e-36,474.0799209899826,0.037201657488861506,-1109.538210956903,1.641880714851587,0.14635150036792594,0.2766660214273609,112.97998154121143
14.026405281056212,double_wave,138,5,133,449.4456994740886,3.379290973489388,5.757858233591302e-36,474.0819678998746,0.037202037048475745,-1109.5368029830897,1.6418890906883543,0.14604093348911515,0.27677608996090863,112.98202845110342
14.02760552110422,double_wave,138,5,133,449.44780094927046,3.379306774054665,5.7535623439481765e-36,474.08406937505646,0.03720242239580414,-1109.535373554485,1.6418975942003446,0.14573035932506279,0.276884758932748,112.98412992628528
14.028805761152231,double_wave,138,5,133,449.44995688230495,3.379322984077481,5.749158452500622e-36,474.08622530809095,0.0372028135165156,-1109.5339227249158,1.6419062250693308,0.14541978281466098,0.2769920297193502,112.98628585931976
14.03000600120024,double_wave,138,5,133,449.45216716370993,3.379339602734661,5.744647034947843e-36,474.08843558949593,0.03720321039608839,-1109.5324505489236,1.6419149829728559,0.14510920892760948,0.27709790371105897,112.98849614072475
14.031206241248249,double_wave,138,5,133,449.4544316819696,3.3793566291877415,5.7400285764588026e-36,474.0907001077556,0.03720361301981118,-1109.53095708176,1.6419238675842551,0.14479864266457487,0.2772023823121735,112.99076065898441
14.03240648129626,double_wave,138,5,133,449.45675032354075,3.3793740625830133,5.735303571575018e-36,474.09301874932675,0.037204021372783794,-1109.5294423793864,1.6419328785726766,0.14448808905734473,0.27730546694099506,112.99307930055556
14.033606721344269,double_wave,138,5,133,449.45912297286213,3.379391902051595,5.730472524108686e-36,474.09539139864813,0.037204435439917895,-1109.5279064984677,1.6419420156030924,0.1441775531689713,0.2774071590298702,112.99545194987695
14.03480696139228,double_wave,138,5,133,449.4615495123593,3.379410146709468,5.725535947045155e-36,474.0978179381453,0.037204855205937915,-1109.5263494963715,1.6419512783363226,0.14386704009394954,0.27750746002526444,112.9978784893741
14.036007201440288,double_wave,138,5,133,449.46402982245917,3.3794287956575877,5.7204943624281284e-36,474.10029824824517,0.03720528065538217,-1109.5247714311622,1.6419606664290585,0.14355655495836034,0.2776063713878177,113.00035879947399
14.037207441488297,double_wave,138,5,133,449.46656378159224,3.3794478479818966,5.7153483012663406e-36,474.10283220737824,0.03720571177260322,-1109.523172361601,1.6419701795338713,0.14324610292004292,0.2777038945924057,113.00289275860706
14.038407681536308,double_wave,138,5,133,449.46915126620473,3.3794673027534192,5.7100983034188336e-36,474.10541969199073,0.03720614854176888,-1109.5215523471406,1.6419798172992366,0.1429356891687426,0.27780003112818674,113.00548024321955
14.039607921584317,double_wave,138,5,133,449.4717921507645,3.3794871590283044,5.7047449174927854e-36,474.1080605765505,0.037206590946863315,-1109.5199114479224,1.641989579369556,0.14262531892630115,0.27789478249868294,113.0081211277793
14.040808161632327,double_wave,138,5,133,449.47448630777035,3.3795074158478973,5.699288700732739e-36,474.11075473355635,0.03720703897168746,-1109.5182497247729,1.6419994653851682,0.1423149974467922,0.27798815022182927,113.01081528478517
14.042008401680336,double_wave,138,5,133,449.47723360776126,3.3795280722388066,5.6937302189091106e-36,474.11350203354726,0.03720749259986021,-1109.5165672392013,1.6420094749823766,0.14200473001671057,0.27808013583003677,113.01356258477608
14.043208641728345,double_wave,138,5,133,449.48003391932207,3.379549127212948,5.688070046212262e-36,474.11630234510807,0.03720795181481892,-1109.5148640533962,1.6420196077934583,0.1416945219551328,0.27817074087026605,113.01636289633689
14.044408881776356,double_wave,138,5,133,449.48288710909424,3.3795705797676256,5.682308765136431e-36,474.11915553488024,0.03720841659982068,-1109.513140230221,1.6420298634466959,0.14138437861388717,0.2782599669040745,113.01921608610905
