period_min,power
90.0,0.0280471142634295
86.49961321980956,0.030862085503357006
83.2613153578123,0.03366186637133685
80.25673305519454,0.036467201143380465
77.46144585198535,0.039282612586219574
74.8543209721998,0.042066810556649153
72.41697806995364,0.04471863226362201
70.13335524889969,0.04708669765525849
67.98935468326634,0.04900250740867701
65.97255131165407,0.050326531799892306
64.07195188417364,0.050989620108885754
62.27779449288577,0.05101382301364044
60.58138086633888,0.05050758107495015
58.97493534653159,0.04964234137890276
57.451485723447995,0.04862272957314642
56.004762074297076,0.04765928784552308
54.62911051169371,0.04694650857089205
53.31941933876854,0.0466446917115741
52.07105557782866,0.04686394925102735
50.879810211337045,0.047651248779352236
49.741850771214665,0.04898396097161025
48.653680151183586,0.05077342914813635
47.612100709589534,0.052879088931641664
46.61418288650966,0.05512966513294398
45.6572376864273,0.057345845240567656
44.73879248215306,0.0593597004743246
43.856569681541,0.06102862086469734
43.00846786947316,0.062243481997480206
42.19254509640065,0.06293124295984619
41.40700403368886,0.06305194661838687
40.6501787569207,0.06259048666321652
39.92052295260903,0.06154501927671623
39.21659937262407,0.05991570906753039
38.53707038499675,0.05769823684023199
37.88068949038017,0.054885421382992815
37.246293690964535,0.051477736933221635
36.63279661355809,0.04750032683591563
36.03918230128836,0.04302123224381064
35.46449959929037,0.03816390014605355
34.9078570691205,0.033107643035822906
34.36841837470244,0.028073192578745094
33.84539808957444,0.023295969610920682
33.33805788123101,0.018994641608394782
32.845703033575255,0.015344183533284084
32.36767927303647,0.01246014720653515
31.90336986786084,0.010395921964775403
31.45219297353293,0.009150257963054255
31.013599200302142,0.008680058108072344
30.587069381431856,0.008913524305167347
30.172112523109824,0.009760222157733318
29.768263918999118,0.011116513842570038
29.375083414207573,0.012866529991163776
28.992153805041323,0.014880190834301636
28.61907936231115,0.017010673286653892
28.255484467204045,0.019094108492115257
27.901012349834687,0.020954112693569216
27.55532392157166,0.02241287627055512
27.218096693104933,0.023308842870429294
26.88902377099819,0.023518635565797988
26.567812926163004,0.022978505755116316
26.254185728311874,0.02169937973614654
25.947876741001405,0.019770622330572096
25.648632772374636,0.017350938724285583
25.356212177157108,0.01464898920583469
25.07038420586241,0.011899250803885942
24.79092839752366,0.009339122668391535
24.51763401259197,0.0071914506250721115
24.250299502936155,0.005653843755722328
23.988732016142507,0.004893730633603292
23.732746931552352,0.0050467547286810865
23.482167425691802,0.006215838918788811
23.236824064944095,0.008468719152205635
22.996554423492494,0.011832628547938767
22.761202724723685,0.016285935997005396
22.530619504427705,0.021747853546919306
22.3046612942644,0.028068734942972694
22.08319032408776,0.03502470358682173
21.866074241830194,0.04232081388488693
21.653185849750145,0.0496059994590462
21.44440285593847,0.05650036039702041
21.239607640063632,0.06263141297954719
21.038687032412714,0.06767229319209125
20.84153210535627,0.07137345041649808
20.648037976429404,0.0735811189917169
20.458103622281246,0.07424014214589879
20.271631702799322,0.07338350393538248
20.088528394765465,0.07111409101238204
19.908703234446087,0.06758478442584794
19.732068968561816,0.06298139528981192
19.55854141312082,0.057510421154723934
19.38803931963581,0.0513913082511685
19.220484248278158,0.04485154167852885
19.055800447552972,0.03812254315832573
18.89391474010743,0.03143473091169405
18.734756414310624,0.025010782400208216
18.578257121267516,0.019056865326231902
18.42435077695184,0.013752296629039058
18.27297346916354,0.009238779118438168
18.124063369035543,0.00561098878870712
17.977560646832476,0.002910601783213532
17.83340739180035,0.0011255455396175986
17.691547535841718,0.0001952069386748741
17.551926780804948,2.080109397940437e-05
17.4144925291895,0.00047871644020219936
17.279193818081417,0.0014340417138793502
17.14598125614478,0.0027519141634852005
17.014806963505382,0.004305544744117912
16.885624514372964,0.005981160233504524
16.758388882257538,0.007681033748214616
16.63305638764403,0.009325919800536877
16.50958464799744,0.010857625498582595
16.38793252997838,0.012241506058012086
16.26806010375575,0.013467856870138148
16.149928599310023,0.014550867970422939
16.033500364626573,0.015524142083542379
15.918738825684507,0.016432625809731382
15.805608448151517,0.017321872689307388
15.694074700700584,0.018226510213985837
15.584104019868969,0.019160318820222823
15.475663776384327,0.020110235248036942
15.368722242887012,0.02103580567022562
15.26324856298148,0.0218743029946339
15.159212721553414,0.02255028286529827
15.056585516292525,0.022987275634288647
14.955338530364315,0.02311896703234239
14.855444106177114,0.022897689102982736
14.756875320193432,0.0222991038580225
