period_min,model_type,N,k,dof,chi2,reduced_chi2,chi2_p_value,bic_chi2,sse,bic_sse,rms_pct,model,fundamental_amp_pct,harmonic_amp_pct,delta_bic_chi2_vs_constant,delta_bic_sse_vs_constant
,constant,138,1,137,457.8482911211901,3.3419583293517525,3.4033256048441737e-36,462.7755448063473,0.03799293561307003,-1126.3427505876614,1.659250215100008,constant_flux,,,0.0,0.0
8.765982155295557,sine,138,3,135,383.897812944389,2.84368750329177,1.0100041226180826e-25,398.6795739998606,0.03208391592600174,-1139.816507652451,1.5247693084244478,sine_LS_best,0.9423731646716597,,-64.09597080648666,-13.473757064789652
17.14,sine,138,3,135,412.62103898910357,3.0564521406600265,6.848354645792027e-30,427.4028000445752,0.03440124622428241,-1130.1926708138526,1.578874260128344,sine_17p14min,0.7340040129964821,,-35.37274476177208,-3.849920226191216
17.14,double_wave,138,5,133,359.0830224078884,2.6998723489314918,1.105629107294594e-22,383.7192908336744,0.030397762195444253,-1137.4120474933643,1.4841618479715146,double_wave_17p14min,0.6972280743060616,0.8001201788222241,-79.05625397267289,-11.069296905702913
