best_period_min,best_power,false_alarm_probability,iteration
10.962656473435096,0.17698301945615846,0.0027402271764553083,0
8.765982155295557,0.19970525652168775,0.0004081612637021369,1
8.714352507226016,0.22687418719244182,4.6159203945639954e-05,2
8.582952014939906,0.23220419288740496,2.9329100818111976e-05,3
17.86188772830176,0.20535304813331665,0.0002552985291423687,4
8.818695060064245,0.19556536794217505,0.0006527237339750086,5
8.771618213619705,0.2009151406375703,0.0004075594011319497,6
8.736880930221654,0.2887335438565891,1.9098480372699436e-07,7
18.988526449063862,0.20165703333844237,0.00037330186000269404,8
19.53058616185523,0.18134339035426425,0.0018229950396288486,9
17.78945749242498,0.15567055223025333,0.013975463517327865,10
8.543337265311457,0.21429557205316982,0.00013263859171750664,11
8.731566810603427,0.16932536348720104,0.004444716307423029,12
8.84192810217686,0.2332260959817367,2.575611311728357e-05,13
8.748857921148522,0.13081067407606878,0.08454103101475076,14
8.800669868694824,0.3052509724260567,4.277631412261417e-08,15
8.697420639195864,0.22129240270737202,7.108865376382944e-05,16
17.97756064683248,0.19688263022937283,0.000536303917025331,17
8.771618213619705,0.24744504121581,7.501180284477394e-06,18
18.540770100427267,0.21161251795991912,0.00016707773071216673,19
8.731566810603427,0.2060834273453595,0.00025133693726581,20
8.370094856915056,0.19546690656573726,0.0005611185730793745,21
8.765982155295557,0.1961861000045325,0.0005100331282588969,22
17.69154753584172,0.2310039609808754,2.9408848861682714e-05,23
8.835633197002942,0.18491517438904753,0.0013985613494486649,24
8.754369749910422,0.13398242937246366,0.06738078478487344,25
19.055800447552972,0.27957388762445706,4.394726390375751e-07,26
18.49580748289594,0.1959883750662621,0.0005453009973562611,27
8.870875438213458,0.16245288696327098,0.007984335433594093,28
18.12406336903554,0.3054834366275597,3.921063578594324e-08,29
8.806632826123515,0.17519907415955416,0.0029949888756435404,30
8.731587490668424,0.34411840006531963,9.575344607773814e-10,31
8.777365753387215,0.29729874742877077,8.296825112386748e-08,32
8.800669868694824,0.258815349350531,2.8296598293226912e-06,33
8.731566810603427,0.22304470366335805,5.998455766990162e-05,34
8.68011820211332,0.20001500818660523,0.0004153039258444805,35
8.8965138751444,0.21588637355337817,0.00011121962119488888,36
8.920485823981455,0.19555109918536856,0.0005972584418681606,37
17.97756064683248,0.2525313317117883,4.739895848283474e-06,38
14.49604847259787,0.14332008309937905,0.032740559268149484,39
8.765982155295557,0.1718304931150075,0.0038729716258409986,40
8.766459553873053,0.1860818223310916,0.001278486826993549,41
8.800669868694824,0.1427147013697969,0.0367570028524121,42
8.87750742989384,0.187986497806699,0.001064509823781812,43
18.328670512490802,0.1285721748296941,0.09981505381262509,44
8.766459553873053,0.217522774273417,0.00010291734212331643,45
18.95770951478844,0.2289103997509845,3.981443731352972e-05,46
18.328670512490802,0.15536167466954381,0.014382544895640515,47
18.7150761709534,0.2423850909431002,1.187798588093945e-05,48
17.97756064683248,0.211296981832032,0.00016630748250220435,49
18.385473202508766,0.2353221939712771,2.1276927381320182e-05,50
8.872767267545203,0.23770876949560868,1.7605309768330746e-05,51
19.608180474625538,0.1429239370721793,0.03410737096105582,52
8.736880930221654,0.14338052467994572,0.03410727096864028,53
6.412784095113376,0.14008037140098736,0.04313558837172128,54
8.73678526598557,0.2666024924205311,1.4534745256676148e-06,55
18.999885007068855,0.20272936254421922,0.00034302557275165204,56
17.59986804446447,0.19131873468828442,0.0008571342151887853,57
8.801611276864707,0.16758097568796484,0.005312839580602577,58
18.12406336903554,0.2331211292039914,2.4759589631702382e-05,59
8.629923282528672,0.20356381619037278,0.00028774984911242085,60
8.662669099497617,0.2198596085611305,8.043539282900327e-05,61
17.512519607488958,0.1630497597014065,0.007395507748633971,62
18.27297346916354,0.2033113591964306,0.00032298853489157013,63
18.85453318507532,0.15805844868029328,0.011236629676519064,64
8.777365753387215,0.22821193850980534,4.192371036673961e-05,65
18.306533785377592,0.27998636145886624,4.337773172734756e-07,66
