# Model fits
model,period_min,N,k,dof,chi2,reduced_chi2,chi2_p_value,bic_chi2,delta_bic_chi2_vs_constant,sse,bic_sse,delta_bic_sse_vs_constant,rms_pct,fundamental_amp_pct,harmonic_amp_pct
constant_flux,,138,1,137,457.8482911211901,3.3419583293517525,3.4033256048441737e-36,462.7755448063473,0.0,0.03799293561307003,-1126.3427505876614,0.0,1.659250215100008,,
sine_LS_best_8p766min,8.765982155295557,138,3,135,383.897812944389,2.84368750329177,1.0100041226180826e-25,398.6795739998606,-64.09597080648666,0.03208391592600174,-1139.816507652451,-13.473757064789652,1.5247693084244478,0.9423731646716597,
sine_literature_17p14min,17.14,138,3,135,412.62103898910357,3.0564521406600265,6.848354645792027e-30,427.4028000445752,-35.37274476177208,0.03440124622428241,-1130.1926708138526,-3.849920226191216,1.578874260128344,0.7340040129964821,
double_wave_literature_17p14min,17.14,138,5,133,359.0830224078884,2.6998723489314918,1.105629107294594e-22,383.7192908336744,-79.05625397267289,0.030397762195444253,-1137.4120474933643,-11.069296905702913,1.4841618479715146,0.6972280743060616,0.8001201788222241

# Nested F-tests
comparison,parent_model,child_model,df_num,df_den,F,p_value,delta_chi2,delta_bic_chi2,delta_bic_sse
constant_flux -> sine_LS_best_8p766min,constant_flux,sine_LS_best_8p766min,2,135,13.002567632905894,6.852479217315144e-06,73.95047817680108,-64.09597080648666,-13.473757064789652
constant_flux -> sine_literature_17p14min,constant_flux,sine_literature_17p14min,2,135,7.398652105561825,0.0008933250746551882,45.227252132086505,-35.37274476177208,-3.849920226191216
constant_flux -> double_wave_literature_17p14min,constant_flux,double_wave_literature_17p14min,4,133,9.145364664406197,1.4738155800349644e-06,98.76526871330168,-79.05625397267289,-11.069296905702913
sine_literature_17p14min -> double_wave_literature_17p14min,sine_literature_17p14min,double_wave_literature_17p14min,2,133,9.91491627417191,9.689313237782314e-05,53.538016581215174,-43.68350921090081,-7.219376679511697
