period_min,frequency_cpd,power,window
90.0,16.0,0.028042977524651493,residual_5_to_90min
86.49961321980956,16.6474732822299,0.03085754487475866,residual_5_to_90min
83.2613153578123,17.294946564459803,0.03365717074076996,residual_5_to_90min
80.25673305519454,17.942419846689702,0.036462623329529494,residual_5_to_90min
77.46144585198533,18.589893128919602,0.03927841797152183,residual_5_to_90min
74.8543209721998,19.2373664111495,0.04206323158965243,residual_5_to_90min
72.41697806995363,19.884839693379405,0.044715850253395854,residual_5_to_90min
70.13335524889969,20.532312975609305,0.04708483147146047,residual_5_to_90min
67.98935468326634,21.179786257839204,0.049001608851330765,residual_5_to_90min
65.97255131165407,21.827259540069107,0.05032658759721863,residual_5_to_90min
64.07195188417364,22.474732822299007,0.05099055948720163,residual_5_to_90min
62.27779449288577,23.122206104528907,0.05101552807220462,residual_5_to_90min
60.58138086633889,23.76967938675881,0.05050989634634851,residual_5_to_90min
58.97493534653159,24.417152668988706,0.04964507991957926,residual_5_to_90min
57.451485723447995,25.06462595121861,0.048625675263493116,residual_5_to_90min
56.004762074297076,25.71209923344851,0.04766219605006482,residual_5_to_90min
54.62911051169371,26.35957251567841,0.04694910885043717,residual_5_to_90min
53.31941933876855,27.00704579790831,0.04664669632203336,residual_5_to_90min
52.07105557782866,27.65451908013821,0.04686506953943775,residual_5_to_90min
50.879810211337045,28.30199236236811,0.04765121861451105,residual_5_to_90min
49.741850771214665,28.949465644598014,0.04898256309957486,residual_5_to_90min
48.653680151183586,29.596938926827914,0.05077051849212604,residual_5_to_90min
47.612100709589534,30.244412209057813,0.05287460758391472,residual_5_to_90min
46.61418288650966,30.891885491287717,0.05512364680505848,residual_5_to_90min
45.6572376864273,31.539358773517616,0.05733841045813239,residual_5_to_90min
44.73879248215306,32.186832055747516,0.059351045903185545,residual_5_to_90min
43.856569681541,32.83430533797741,0.06101900613926752,residual_5_to_90min
43.00846786947316,33.48177862020732,0.06223321598629378,residual_5_to_90min
42.19254509640065,34.12925190243722,0.06292066980936976,residual_5_to_90min
41.40700403368885,34.776725184667114,0.06304143106744496,residual_5_to_90min
40.650178756920695,35.42419846689702,0.06258039815730765,residual_5_to_90min
39.92052295260903,36.07167174912692,0.06153571487551663,residual_5_to_90min
39.21659937262407,36.71914503135682,0.059907515475717384,residual_5_to_90min
38.53707038499675,37.36661831358672,0.05769143192373452,residual_5_to_90min
37.88068949038018,38.01409159581662,0.05488021556178768,residual_5_to_90min
37.246293690964535,38.66156487804652,0.05147425533329474,residual_5_to_90min
36.63279661355809,39.30903816027642,0.04749859420335822,residual_5_to_90min
36.03918230128836,39.956511442506326,0.04302116395956121,residual_5_to_90min
35.46449959929037,40.60398472473622,0.038165303317923296,residual_5_to_90min
34.9078570691205,41.251458006966125,0.033110230649516084,residual_5_to_90min
34.36841837470244,41.89893128919603,0.028076610815883637,residual_5_to_90min
33.84539808957443,42.546404571425924,0.023299834616580632,residual_5_to_90min
33.33805788123101,43.19387785365583,0.018998579002969626,residual_5_to_90min
32.845703033575255,43.84135113588573,0.015347863355702044,residual_5_to_90min
32.36767927303647,44.48882441811563,0.012463308977411448,residual_5_to_90min
31.903369867860842,45.13629770034553,0.010398388004543197,residual_5_to_90min
31.452192973532934,45.78377098257543,0.009151936334156889,residual_5_to_90min
31.01359920030214,46.43124426480533,0.008680938426976183,residual_5_to_90min
30.587069381431856,47.07871754703523,0.008913669932616667,residual_5_to_90min
30.172112523109824,47.726190829265136,0.00975976131960394,residual_5_to_90min
29.768263918999118,48.37366411149503,0.011115630696660722,residual_5_to_90min
29.37508341420757,49.021137393724935,0.01286545513993517,residual_5_to_90min
28.99215380504132,49.66861067595483,0.014879189737632068,residual_5_to_90min
28.61907936231115,50.316083958184734,0.017010030709888924,residual_5_to_90min
28.255484467204045,50.96355724041464,0.019094107617233954,residual_5_to_90min
27.901012349834687,51.61103052264453,0.020955008780025545,residual_5_to_90min
27.55532392157166,52.25850380487444,0.02241486660943923,residual_5_to_90min
27.21809669310493,52.90597708710434,0.023312036861723097,residual_5_to_90min
26.889023770998193,53.553450369334236,0.023523030405410438,residual_5_to_90min
26.567812926163004,54.20092365156414,0.02298397359721009,residual_5_to_90min
26.254185728311874,54.848396933794035,0.021705670667368834,residual_5_to_90min
25.947876741001405,55.49587021602394,0.019777384189766448,residual_5_to_90min
25.648632772374636,56.14334349825384,0.017357750829605736,residual_5_to_90min
25.356212177157108,56.79081678048374,0.014655404012949765,residual_5_to_90min
25.070384205862407,57.43829006271364,0.011904836588035815,residual_5_to_90min
24.79092839752366,58.085763344943544,0.009343501581544084,residual_5_to_90min
24.51763401259197,58.73323662717344,0.007194329014882852,residual_5_to_90min
24.250299502936155,59.38070990940334,0.005655034212571543,residual_5_to_90min
23.988732016142507,60.02818319163325,0.004893166963769251,residual_5_to_90min
23.732746931552352,60.67565647386314,0.005044501635280516,residual_5_to_90min
23.482167425691802,61.323129756093046,0.006212097768172515,residual_5_to_90min
23.236824064944095,61.97060303832294,0.008463830174499008,residual_5_to_90min
22.996554423492494,62.618076320552845,0.011827068545161334,residual_5_to_90min
22.761202724723685,63.26554960278275,0.01628030945326046,residual_5_to_90min
22.530619504427705,63.913022885012644,0.021742874294847704,residual_5_to_90min
22.3046612942644,64.56049616724255,0.02806519561786012,residual_5_to_90min
22.08319032408776,65.20796944947244,0.03502343135580017,residual_5_to_90min
21.866074241830194,65.85544273170234,0.042322613521435244,residual_5_to_90min
21.653185849750145,66.50291601393225,0.0496115883920993,residual_5_to_90min
21.44440285593847,67.15038929616216,0.056510303877747955,residual_5_to_90min
21.239607640063632,67.79786257839206,0.06264606949289919,residual_5_to_90min
21.038687032412714,68.44533586062195,0.06769177943317299,residual_5_to_90min
20.84153210535627,69.09280914285185,0.07139763135556251,residual_5_to_90min
20.648037976429407,69.74028242508174,0.07360962298911967,residual_5_to_90min
20.458103622281243,70.38775570731165,0.07427239585971446,residual_5_to_90min
20.271631702799322,71.03522898954155,0.07341877875416775,residual_5_to_90min
20.088528394765465,71.68270227177146,0.0711515526383466,residual_5_to_90min
19.908703234446087,72.33017555400136,0.06762353942567377,residual_5_to_90min
19.732068968561816,72.97764883623125,0.06302053159867874,residual_5_to_90min
19.55854141312082,73.62512211846115,0.057549042374547485,residual_5_to_90min
