model,display_name,physical_interpretation,period_s,orbital_period_s,precession_period_hr,components,mean_differential_flux,fundamental_amp_pct,fundamental_phase_cycles,harmonic_amp_pct,harmonic_phase_cycles,N,k,nonlinear_parameters,effective_k,dof,chi2,reduced_chi2,chi2_p_value_formal_errors,scaled_chi2,scaled_reduced_chi2,scaled_chi2_p_value,bic_chi2,delta_bic_vs_free_double_wave,bic_chi2_effective,delta_effective_bic_vs_free_double_wave,rms_pct
constant_flux,Constant flux baseline,no coherent AM CVn variability,,,,,0.9983951131476383,,,,,138,1,0,1,137,457.8482911211901,3.3419583293517525,3.4033256048441737e-36,180.98188234978994,1.3210356375897077,0.0070307877850833795,462.7755448063473,101.67563743228982,462.7755448063473,96.7483837471326,1.659250215100008
single_sine_free,Best-fit single sine,"free sinusoidal photometric period, dominated by the 525 s harmonic",525.0550183394465,,,525.0550s_h1,0.998301843180577,0.9431568033788676,0.7577423331503869,,,138,3,1,4,135,383.76106602776963,2.842674563168664,1.0563508870550347e-25,151.69609988537385,1.1236748139657322,0.15453570490670918,398.54282708324126,37.4429197091838,403.4700807683985,37.4429197091838,1.5248308027133541
harmonic_superhump_template,Fixed harmonic superhump template,literature 1051.2 s positive superhump plus first harmonic,1051.2,,,1051.2000s_h1;1051.2000s_h2,0.99844381071899,0.7544645796702135,0.7997171969574702,0.8990483827083232,0.7690017167757843,138,5,0,5,133,337.0168223272481,2.5339610701296853,1.1151084461688882e-19,133.2186666875323,1.0016441104325737,0.47835403645847563,361.6530907530341,0.5531833789766551,361.6530907530341,-4.374070306180556,1.4340329904819034
beat_constrained_precessing_disk,Best beat-constrained precessing disk,positive superhump with f_sh = f_orb - f_prec,1055.2158455572028,1028.7322,11.385795265088362,1055.2158s_h1;1055.2158s_h2,0.998429261009189,0.7672792741357553,0.8152656146411448,0.8934227168696508,0.7904752047637335,138,5,1,6,133,336.4636396401525,2.529801801805658,1.3217503501854497e-19,133.00000027349216,1.000000002056332,0.48369152973134644,361.0999080659385,6.918810413480969e-07,366.0271617510957,6.918810413480969e-07,1.4317212509447852
double_wave_free,Best free double wave,free fundamental plus first harmonic waveform,1055.2138034508628,,,1055.2138s_h1;1055.2138s_h2,0.9984292674462814,0.7672726608502007,0.8152577636586543,0.8934273971462536,0.7904643502962473,138,5,1,6,133,336.46363894827147,2.529801796603545,1.321750631087001e-19,132.99999999999997,0.9999999999999998,0.48369153641278456,361.09990737405747,0.0,366.0271610592147,0.0,1.4317218406097185
