bootstrap,family,method,weight,period_mean_min,period_sigma_min,period_mean_s,period_sigma_s,n_assigned,period_median_min,period_p16_min,period_p84_min,fap_median,fap_below_0p05_frac
row_resample,half_period_family,two_gaussian_em,0.5491798706410089,8.756755249689583,0.06899529555289716,525.405314981375,4.139717733173829,,,,,,
row_resample,fundamental_family,two_gaussian_em,0.45082012935899146,18.541104639298936,8.117121393855257,1112.466278357936,487.0272836313154,,,,,,
row_resample,half_period_family,hard_split_percentiles,0.608,8.791877691828036,0.6256180555388479,527.5126615096822,37.53708333233087,608.0,8.765982155295557,8.68061884904246,8.835633197002942,0.00033499856233939996,0.9555921052631579
row_resample,fundamental_family,hard_split_percentiles,0.373,18.32682256431575,0.7469430568041852,1099.609353858945,44.81658340825111,373.0,18.288501105798844,17.811154697741223,18.96696408623762,0.0006383182802477,0.9329758713136729
perturbed_scaled_errors,half_period_family,two_gaussian_em,0.5295134259633748,8.752746868388838,0.0676928161781559,525.1648121033303,4.061568970689354,,,,,,
perturbed_scaled_errors,fundamental_family,two_gaussian_em,0.4704865740366251,18.545410476464124,5.019601295544646,1112.7246285878475,301.1760777326788,,,,,,
perturbed_scaled_errors,half_period_family,hard_split_percentiles,0.556,8.782444957543376,0.44322870227034367,526.9466974526026,26.59372213622062,556.0,8.765982155295557,8.697420639195864,8.835633197002942,0.22774898148292924,0.24280575539568344
perturbed_scaled_errors,fundamental_family,hard_split_percentiles,0.433,18.41360995220688,0.695032321517272,1104.8165971324129,41.70193929103632,433.0,18.424350776951837,17.83340739180035,19.055800447552972,0.3165237787184706,0.18244803695150116
