iteration,single_sine_free_period_min,single_sine_free_period_s,single_sine_free_chi2,double_wave_free_period_min,double_wave_free_period_s,double_wave_free_chi2
0,8.867579908675799,532.054794520548,157.3463798605948,17.77257525083612,1066.3545150501673,137.39953407138628
1,8.899543378995434,533.972602739726,134.39904106967631,17.85284280936455,1071.1705685618729,115.04246130690284
2,8.67579908675799,520.5479452054794,158.75692137700025,17.558528428093645,1053.5117056856186,128.9012631998816
3,8.61187214611872,516.7123287671233,159.20976379116314,17.4247491638796,1045.484949832776,133.15363036571125
4,8.73972602739726,524.3835616438356,141.13181153846884,17.39799331103679,1043.8795986622074,133.36520985489514
5,8.899543378995434,533.972602739726,89.08140362910757,17.82608695652174,1069.5652173913043,81.33814086332261
6,8.771689497716896,526.3013698630137,115.2250515211802,17.612040133779264,1056.7224080267558,110.16106708268978
7,8.899543378995434,533.972602739726,115.98537820458945,17.82608695652174,1069.5652173913043,103.84984291778514
8,6.63013698630137,397.8082191780822,158.65107968396939,17.29096989966555,1037.4581939799332,131.1940539210633
9,8.547945205479452,512.8767123287671,187.74174714476527,17.103678929765888,1026.2207357859534,147.2842114389029
10,8.80365296803653,528.2191780821918,117.81476414670509,17.531772575250837,1051.9063545150502,114.95036518370125
11,8.707762557077626,522.4657534246576,119.27626507468196,17.4247491638796,1045.484949832776,106.04882060123128
12,8.547945205479452,512.8767123287671,172.5207325208355,17.29096989966555,1037.4581939799332,139.6625560658908
13,10.97716894977169,658.6301369863014,137.6631837027203,17.558528428093645,1053.5117056856186,129.18108256863866
14,8.643835616438356,518.6301369863013,160.97530622145422,17.37123745819398,1042.2742474916388,144.3068881795659
15,8.643835616438356,518.6301369863013,156.10242296504092,17.37123745819398,1042.2742474916388,131.8779689659885
16,8.73972602739726,524.3835616438356,188.36208208972653,17.4247491638796,1045.484949832776,146.9553322762889
17,8.771689497716896,526.3013698630137,133.86122299149633,17.505016722408026,1050.3010033444816,119.08402361136012
18,9.698630136986301,581.917808219178,104.74354122835935,19.40468227424749,1164.2809364548496,95.25260977697309
19,11.009132420091323,660.5479452054793,123.21939892558711,22.0,1320.0,116.9977691200908
20,8.771689497716896,526.3013698630137,198.72159933434278,17.4247491638796,1045.484949832776,144.55487492921696
21,8.867579908675799,532.054794520548,177.20004226860686,17.85284280936455,1071.1705685618729,148.58842197366698
22,5.447488584474886,326.8493150684932,130.43714288208025,17.451505016722408,1047.0903010033444,110.92714923548569
23,11.041095890410958,662.4657534246575,148.82258905861636,19.37792642140468,1162.6755852842807,119.4679176338965
24,8.67579908675799,520.5479452054794,176.22075502136155,17.317725752508363,1039.0635451505018,149.68904723177474
25,8.643835616438356,518.6301369863013,156.77762426502483,17.237458193979933,1034.247491638796,139.7458013779028
26,8.61187214611872,516.7123287671233,182.64760500607966,17.157190635451506,1029.4314381270904,154.89056473382345
27,8.707762557077626,522.4657534246576,118.1998168902619,17.37123745819398,1042.2742474916388,110.07072451239128
28,8.80365296803653,528.2191780821918,122.73129720282145,17.638795986622075,1058.3277591973244,116.96748815650363
29,8.707762557077626,522.4657534246576,145.9152195404074,17.4247491638796,1045.484949832776,136.513603232084
30,8.707762557077626,522.4657534246576,178.36883521415353,17.585284280936456,1055.1170568561874,147.84844558834325
31,8.771689497716896,526.3013698630137,168.72674261693612,17.558528428093645,1053.5117056856186,133.46886101098792
32,8.73972602739726,524.3835616438356,133.8410343514638,17.531772575250837,1051.9063545150502,109.2259630826774
33,9.858447488584474,591.5068493150684,159.78850990167595,19.53846153846154,1172.3076923076924,143.9119589732461
34,8.80365296803653,528.2191780821918,115.24356544787179,17.77257525083612,1066.3545150501673,107.03017970061046
35,12.0,720.0,118.1727652037765,17.79933110367893,1067.9598662207359,111.1960389602933
36,8.643835616438356,518.6301369863013,146.58520732593075,17.451505016722408,1047.0903010033444,127.29119816699091
37,8.67579908675799,520.5479452054794,143.38268109585553,17.39799331103679,1043.8795986622074,125.16891082496272
38,8.73972602739726,524.3835616438356,107.07034999396225,17.47826086956522,1048.695652173913,99.16987450037686
39,8.835616438356164,530.1369863013698,115.1623363579817,17.7190635451505,1063.14381270903,88.84332895672509
40,9.794520547945204,587.6712328767122,123.14554328825929,17.638795986622075,1058.3277591973244,113.88175800637873
41,8.452054794520548,507.12328767123284,144.67390878894048,17.237458193979933,1034.247491638796,104.18161415750177
42,8.867579908675799,532.054794520548,103.60668513235476,17.77257525083612,1066.3545150501673,92.9601382456108
43,8.67579908675799,520.5479452054794,116.25024020189244,19.270903010033443,1156.2541806020065,113.86553702797947
44,8.61187214611872,516.7123287671233,149.0692615313401,17.585284280936456,1055.1170568561874,108.61630794456462
45,8.771689497716896,526.3013698630137,193.2134346089009,17.612040133779264,1056.7224080267558,159.91502585533755
46,8.67579908675799,520.5479452054794,154.44682189405015,17.4247491638796,1045.484949832776,129.25074157475348
47,8.835616438356164,530.1369863013698,157.48958220199603,17.77257525083612,1066.3545150501673,134.58671864070112
48,8.67579908675799,520.5479452054794,155.2477945937571,17.585284280936456,1055.1170568561874,122.58930622029608
49,8.80365296803653,528.2191780821918,133.63429316911152,17.531772575250837,1051.9063545150502,117.70525702390066
50,8.80365296803653,528.2191780821918,157.3600453568752,17.745819397993312,1064.7491638795987,130.05820316204677
51,8.80365296803653,528.2191780821918,106.34632250017799,17.612040133779264,1056.7224080267558,99.04276980524929
52,8.899543378995434,533.972602739726,150.13993758021593,17.82608695652174,1069.5652173913043,127.9071304261972
53,8.61187214611872,516.7123287671233,166.3106601288792,17.183946488294314,1031.0367892976587,116.8896752813975
54,8.707762557077626,522.4657534246576,92.17769338364783,17.37123745819398,1042.2742474916388,89.43247438291587
55,8.80365296803653,528.2191780821918,117.9452158332231,17.692307692307693,1061.5384615384617,105.70731308205148
56,5.894977168949771,353.6986301369863,126.97958606847324,17.4247491638796,1045.484949832776,109.84890682208571
