bootstrap,reported_component,weight,period_median_min,minus_1sigma_min,plus_1sigma_min,period_median_s,minus_1sigma_s,plus_1sigma_s,fap_median,fap_below_0p05_frac
row_resample,half_period_family,0.5962,8.765982155295557,0.08586395318223694,0.06965104170738456,525.9589293177335,5.151837190934216,4.179062502443074,0.00036426024137893256,0.9530358939953036
row_resample,half_period_doubled_to_fundamental,0.5962,17.531964310591114,0.17172790636447388,0.13930208341476913,1051.917858635467,10.303674381868433,8.358125004886148,0.00036426024137893256,0.9530358939953036
row_resample,long_period_family,0.3869,18.27297346916354,0.532938104694459,0.6620403023728727,1096.3784081498122,31.97628628166754,39.72241814237236,0.0005643066207987323,0.949599379684673
perturb_formal_errors,half_period_family,0.6463,8.765982155295557,0.06856151609969352,0.034687713399266684,525.9589293177335,4.113690965981611,2.081262803956001,0.044787065258214014,0.5287018412501934
perturb_formal_errors,half_period_doubled_to_fundamental,0.6463,17.531964310591114,0.13712303219938704,0.06937542679853337,1051.917858635467,8.227381931963222,4.162525607912002,0.044787065258214014,0.5287018412501934
perturb_formal_errors,long_period_family,0.353,18.424350776951837,0.30028740791629716,0.31040563735878735,1105.4610466171102,18.01724447497783,18.62433824152724,0.0736868817639772,0.39773371104815863
perturb_scaled_errors,half_period_family,0.5731,8.765982155295557,0.10244165985515785,0.06965104170738456,525.9589293177335,6.146499591309471,4.179062502443074,0.22372899786049,0.23329261908916418
perturb_scaled_errors,half_period_doubled_to_fundamental,0.5731,17.531964310591114,0.2048833197103157,0.13930208341476913,1051.917858635467,12.292999182618942,8.358125004886148,0.22372899786049,0.23329261908916418
perturb_scaled_errors,long_period_family,0.4112,18.424350776951837,0.5909433851514869,0.6314496706011354,1105.4610466171102,35.456603109089215,37.886980236068126,0.27894774263742206,0.181420233463035
block_resample_10min,half_period_family,0.6131,8.800669868694824,0.11278128546993216,0.10573007445397309,528.0401921216894,6.7668771281959295,6.343804467238385,0.00011361090823300725,0.9727613766106671
block_resample_10min,half_period_doubled_to_fundamental,0.6131,17.601339737389647,0.22556257093986432,0.21146014890794618,1056.0803842433788,13.533754256391859,12.68760893447677,0.00011361090823300725,0.9727613766106671
block_resample_10min,long_period_family,0.3862,18.12406336903554,0.5454602694420387,0.6435876615312566,1087.4438021421324,32.727616166522324,38.615259691875394,8.715208205410235e-05,0.9730709476954945
