run,period_min,amp_pct,delta_sse,bic_constant,bic_sine,bic_delta,rms_sine_pct
fixed,17.14,0.7249419271102514,0.0035944827810015026,-1126.3539179597508,-1130.2162112771655,-3.8622933174146965,1.578739601263824
fixed,17.2,0.7385100886948466,0.003718109774240988,-1126.3539179597508,-1130.7131169588533,-4.359198999102546,1.5758998225863474
fixed,34.3,0.31523687849155624,0.0006648340233089203,-1126.3539179597508,-1118.9358339921284,7.418083967622351,1.6446008989530716
fixed,13.0,0.2929636574143035,0.0005895721621869826,-1126.3539179597508,-1118.6578521551014,7.696065804649379,1.6462581434542898
fixed,20.0,0.7201193731536325,0.003602749670379206,-1126.3539179597508,-1130.2493834039462,-3.8954654441954517,1.5785498657450616
