loss,period_min,period_s,cost,ordinary_chi2_at_solution,rms_pct,robust_residual_sigma_pct,max_abs_standard_residual,success
linear,17.586840306802706,1055.2104184081625,336.4636384717086,336.4636384717086,1.4317227011836111,1.2934411885968948,5.393910720469873,True
soft_l1,17.619243950070846,1057.1546370042508,184.52236069563077,340.27237635530196,1.4395114646648257,1.292281164468992,5.476284528363906,True
huber,17.627451311571242,1057.6470786942746,216.90207653298143,342.18833342133144,1.4436511575775428,1.2938199455208834,5.4707860617226185,True
cauchy,17.655862601622456,1059.3517560973473,115.66735575224402,347.3216838414548,1.4544888501347302,1.2527742741552228,5.40575353882243,True
