dropped_comparison,N,double_wave_period_min,double_wave_period_s,double_wave_rms_pct,double_wave_bic_chi2
none,138,17.589658048373643,1055.3794829024187,1.4397040138305421,364.88489863064234
112,138,17.603002502085072,1056.1801501251043,1.433946752373338,363.69661379220304
125,138,17.629691409507924,1057.7814845704754,1.4708354126337244,380.9766570856913
143,138,17.55629691409508,1053.3778148457047,1.5038226221479203,395.81560774152234
144,138,17.542952460383653,1052.577147623019,1.42469409780313,354.82167001159286
90,138,17.58298582151793,1054.9791492910758,1.4702684313605785,379.79592188777514
96,138,17.603002502085072,1056.1801501251043,1.4290267220801778,359.8469167773154
