model,N_boot,period_median_s,minus_1sigma_s,plus_1sigma_s,period_p2p5_s,period_p97p5_s
single_sine_free,250,527.2602739726028,6.712328767123381,56.88219178082181,412.91095890410963,704.5136986301372
double_wave_free,250,1056.7224080267558,14.44816053511704,12.84280936454843,1026.2207357859534,1171.9464882943143
