window,min_period_min,max_period_min,best_period_min,best_period_s,best_power,false_alarm_probability,half_power_width_min,family
short_5_to_12min,5.0,12.0,8.74446187635847,524.6677125815082,0.1617950975092305,0.008523439354148517,0.5506497123913014,half_period_family
focused_7_to_10min,7.0,10.0,8.742153194917773,524.5291916950664,0.16174205543195525,0.00855810131443824,0.5503587018834715,half_period_family
long_14_to_22min,14.0,22.0,18.366407277034472,1101.9844366220684,0.14006942828468513,0.043271807237070754,3.800869068702397,long_period_family
wide_3_to_180min,3.0,180.0,8.74377810285232,524.6266861711391,0.16191181809101193,0.008447646657072311,11.676127528434034,half_period_family
literature_525s_harmonic,8.3,9.2,8.764913061173063,525.8947836703837,0.16155636229570458,0.008680535646109263,0.5488917550216481,half_period_family
literature_1028p7s_orbital,16.8,17.5,17.500000000000004,1050.0000000000002,0.11669406165379874,0.2161512725348479,0.6624400306149631,long_period_family
literature_1051s_superhump,17.1,17.9,17.9,1074.0,0.1326369803528623,0.07376135669533465,0.8245840556819175,long_period_family
fast_115_to_120s,1.85,2.05,1.9930500789738161,119.58300473842897,0.020577029311211983,1.0,0.032151152023993435,115_120s_candidate
fast_26p3s,0.38,0.5,0.3961535855968963,23.769215135813777,0.11158263569284546,0.29569820753619513,0.0400929619246434,very_fast_26s_candidate
