precession_period_hr,superhump_period_min,superhump_period_s,orbital_period_s,N,k,dof,chi2,reduced_chi2,aic_chi2,bic_chi2,sse,bic_sse,rms_pct,fundamental_amp_pct,harmonic_amp_pct,fundamental_phase_cycles,harmonic_phase_cycles,delta_chi2
6.0,18.002954198087878,1080.1772518852727,1028.7322,138,5,133,354.76442632010856,2.6674017016549514,364.76442632010856,379.40069474589455,0.029555441211013698,-1141.2900035814394,1.4634543513479517,0.8415448472469947,0.7050788175050879,0.9077906784794633,0.9180746985532989,18.300786679956047
6.008002667555852,18.00175508323144,1080.1053049938864,1028.7322,138,5,133,354.67326202587685,2.6667162558336606,364.67326202587685,379.30953045166285,0.029548419376957964,-1141.3227937611202,1.4632804959830805,0.8413807444938298,0.7059701431928873,0.9075325295853256,0.9177205184641696,18.209622385724344
6.0160053351117035,18.0005593176612,1080.033559059672,1028.7322,138,5,133,354.5824664941604,2.6660335826628603,364.5824664941604,379.2187349199464,0.0295414278812601,-1141.3554500110708,1.4631073712484182,0.8412166732355982,0.7068571955014467,0.9072750560783709,0.9173672507289019,18.11882685400792
6.024008002667556,17.99936688736422,1079.9620132418534,1028.7322,138,5,133,354.4920387968717,2.665353675164449,364.4920387968717,379.1283072226577,0.029534466642766183,-1141.3879726135417,1.4629349753934497,0.8410526358618908,0.7077399971644157,0.9070182553314398,0.9170148919760538,18.028399156719217
6.032010670223408,17.99817777840564,1079.8906667043384,1028.7322,138,5,133,354.4019780004466,2.6646765263191474,364.4019780004466,379.0382464262326,0.029527535579901523,-1141.4203618534495,1.462763306655322,0.8408886347371044,0.7086185707867478,0.9067621247304719,0.9166634388468348,17.938338360294097
6.04001333777926,17.99699197692811,1079.8195186156868,1028.7322,138,5,133,354.3122831659911,2.6640021290676024,364.3122831659911,378.9485515917771,0.029520634610682845,-1141.4526180183211,1.4625923632591462,0.8407246722006705,0.7094929388453325,0.9065066616744225,0.9163128879951394,17.84864352583861
6.0480160053351115,17.995809469151265,1079.748568149076,1028.7322,138,5,133,354.22295334944056,2.6633304763115833,364.22295334944056,378.85922177522656,0.029513763652731322,-1141.484741398231,1.4624221434183227,0.840560750567225,0.7103631236896174,0.9062518635751857,0.9159632360875561,17.75931370928805
6.056018672890963,17.994630241371183,1079.677814482271,1028.7322,138,5,133,354.133987601713,2.662661560915135,364.133987601713,378.770256027499,0.02950692262328492,-1141.5167322857453,1.4622526453348486,0.8403968721267829,0.7112291475422399,0.9059977278575383,0.9156144798034069,17.67034796156048
6.064021340446816,17.993454279959867,1079.607256797592,1028.7322,138,5,133,354.04538496885414,2.6619953757056702,364.04538496885414,378.68165339464014,0.029500111439210802,-1141.5485909758604,1.4620838671996284,0.840233039144983,0.7120910324996347,0.9057442519590377,0.9152666158347479,17.58174532870163
6.072024008002668,17.9922815713647,1079.536894281882,1028.7322,138,5,133,353.95714449218644,2.661331913475086,363.95714449218644,378.59341291797244,0.029493330017017122,-1141.5803177659493,1.4619158071927676,0.8400692538632201,0.7129488005326715,0.9054914333299675,0.9149196408863935,17.493504852033936
6.0800266755585195,17.99111210210795,1079.4667261264772,1028.7322,138,5,133,353.86926520845515,2.660671166980866,363.86926520845515,378.50553363424115,0.02948657827286519,-1141.611912955703,1.461748463483878,0.8399055184988733,0.7138024734872749,0.9052392694332616,0.9145735516759369,17.40562556830264
6.088029343114371,17.98994585878624,1079.3967515271743,1028.7322,138,5,133,353.7817461499669,2.66001312894712,363.7817461499669,378.4180145757529,0.029479856122580913,-1141.6433768470763,1.4615818342323625,0.8397418352454833,0.7146520730850477,0.9049877577444201,0.9142283449337464,17.318106509814413
6.096032010670223,17.98878282807002,1079.326969684201,1028.7322,138,5,133,353.69458634473244,2.6593577920656575,363.69458634473244,378.33085477051844,0.029473163481666422,-1141.674709744233,1.4614159175877093,0.8395782062729426,0.7154976209238886,0.9047368957514453,0.9138840174029875,17.230946704579935
6.104034678226076,17.987622996703095,1079.2573798021858,1028.7322,138,5,133,353.60778481660543,2.6587051489970333,363.60778481660543,378.24405324239143,0.02946650026531137,-1141.705911953491,1.4612507116897728,0.839414633727662,0.7163391384786394,0.904486680954781,0.9135405658396317,17.144145176452923
