period_min,model_type,N,k,dof,chi2,reduced_chi2,chi2_p_value,bic_chi2,sse,bic_sse,rms_pct,fundamental_amp_pct,delta_chi2
6.0,sine,138,3,135,450.5211172105317,3.3371934608187535,1.3392510645404798e-35,465.30287826600335,0.037230421747920336,-1119.2860581885132,1.642515341907047,0.29625902779383134,66.7603525424584
6.00120024004801,sine,138,3,135,450.5300038074876,3.3372592874628713,1.3350528016119042e-35,465.31176486295925,0.03723075055790091,-1119.2848394116415,1.642522595037953,0.2960354095246126,66.76923913941431
6.00240048009602,sine,138,3,135,450.53998560397025,3.337333226696076,1.3303527885677044e-35,465.3217466594419,0.037231184756270894,-1119.283230015517,1.642532172853917,0.2957900648413482,66.77922093589694
6.0036007201440285,sine,138,3,135,450.5510597740525,3.337415257585574,1.3251577313313708e-35,465.3328208295241,0.03723172424659545,-1119.2812303712435,1.6425440731870755,0.2955230410926071,66.79029510597917
6.004800960192038,sine,138,3,135,450.56322304865887,3.3375053559159915,1.3194750734733578e-35,465.3449841041305,0.037232368891846834,-1119.278841003672,1.642558292964363,0.2952343889401976,66.80245838058556
6.006001200240048,sine,138,3,135,450.5764717190507,3.33760349421519,1.3133129737090656e-35,465.3582327745223,0.037233118514662815,-1119.2760625904175,1.6425748282132886,0.2949241622838976,66.81570705097738
6.007201440288058,sine,138,3,135,450.59080164042166,3.337709641780901,1.3066802814459788e-35,465.3725626958933,0.037233972897615125,-1119.2728959608314,1.6425936740679519,0.29459241818891907,66.83003697234835
6.008401680336068,sine,138,3,135,450.6062082355962,3.33782376470812,1.2995865104976074e-35,465.38796929106786,0.037234931783485935,-1119.2693420949395,1.6426148247752559,0.2942392168161662,66.84544356752292
6.0096019203840765,sine,138,3,135,450.6226864988149,3.3379458259171475,1.2920418110912028e-35,465.40444755428655,0.037235994875552424,-1119.2654021223416,1.6426382737013152,0.29386462135537444,66.86192183074161
6.010802160432086,sine,138,3,135,450.6402309996224,3.3380757851823883,1.2840569402900778e-35,465.42199205509405,0.03723716183787993,-1119.2610773210758,1.6426640133380705,0.29346869796116926,66.87946633154911
6.012002400480096,sine,138,3,135,450.6588358868395,3.338213599161774,1.2756432309706453e-35,465.4405969423111,0.03723843229562219,-1119.2563691164492,1.64269203531008,0.2930515156921809,66.89807121876618
6.013202640528106,sine,138,3,135,450.6784948926192,3.338359221426809,1.2668125594923364e-35,465.46025594809083,0.037239805835329126,-1119.2512790798332,1.6427223303814904,0.29261314645309944,66.91773022454589
6.014402880576116,sine,138,3,135,450.69920133658184,3.3385126024931986,1.2575773122033984e-35,465.48096239205347,0.03724128200526123,-1119.2458089274346,1.6427548884631735,0.2921536649399725,66.93843666850853
6.0156031206241245,sine,138,3,135,450.7209481300302,3.3386736898520755,1.2479503509270915e-35,465.5027091855018,0.037242860315711154,-1119.2399605190262,1.6427896986200372,0.2916731485886609,66.96018346195689
6.016803360672134,sine,138,3,135,450.7437277802365,3.338842428001752,1.2379449775774226e-35,465.52548883570813,0.037244540239331436,-1119.233735856656,1.6428267490784854,0.2911716775265296,66.98296311216319
6.018003600720144,sine,138,3,135,450.76753239479285,3.339018758479947,1.227574898057396e-35,465.5492934502645,0.03724632121146788,-1119.2271370833278,1.6428660272340228,0.2906493345275028,67.00676772671954
6.019203840768154,sine,138,3,135,450.7923536860387,3.339202619896583,1.2168541855804223e-35,465.57411474151036,0.03724820263049996,-1119.2201664816487,1.6429075196590255,0.2901062049704805,67.03158901796542
6.020404080816164,sine,138,3,135,450.8181829755396,3.3393939479669603,1.2057972435756173e-35,465.59994403101126,0.0372501838581854,-1119.2128264724608,1.6429512121106196,0.28954237680122574,67.05741830746632
6.0216043208641725,sine,138,3,135,450.84501119863125,3.3395926755454166,1.1944187683161643e-35,465.6267722541029,0.037252264220011155,-1119.2051196134398,1.6429970895387163,0.2889579404977847,67.08424653055795
6.022804560912182,sine,138,3,135,450.87282890901963,3.3397987326594047,1.1827337114200547e-35,465.65458996449127,0.037254443005549,-1119.1970485976747,1.6430451360941611,0.28835298903948,67.11206424094632
6.024004800960192,sine,138,3,135,450.9016262834316,3.340012046543938,1.1707572423674478e-35,465.68338733890323,0.03725671946881644,-1119.1886162522228,1.6430953351370143,0.2877276178795731,67.14086161535829
6.025205041008202,sine,138,3,135,450.93139312632263,3.340232541676464,1.1585047111700238e-35,465.71315418179427,0.03725909282864214,-1119.1798255366427,1.6431476692449412,0.2870819249216643,67.17062845824933
6.026405281056212,sine,138,3,135,450.96211887462476,3.3404601398120355,1.1459916113336817e-35,465.7438799300964,0.03726156226903592,-1119.1706795415087,1.6432021202217193,0.28641601049984516,67.20135420655146
6.0276055211042205,sine,138,3,135,450.9937926025454,3.340694760018855,1.1332335432400113e-35,465.77555365801703,0.03726412693956313,-1119.1611814869007,1.6432586691058504,0.2857299773627554,67.23302793447209
6.02880576115223,sine,138,3,135,451.02640302640793,3.340936318714133,1.1202461780738271e-35,465.80816408187957,0.03726678595572322,-1119.1513347208813,1.6433172961792777,0.28502393066154347,67.26563835833463
6.03000600120024,sine,138,3,135,451.0599385095371,3.341184729700275,1.1070452224141646e-35,465.84169956500875,0.03726953839933313,-1119.141142717945,1.6433779809762188,0.28429797794181294,67.29917384146381
6.03120624124825,sine,138,3,135,451.0943870671761,3.3414399042013048,1.0936463836064758e-35,465.87614812264775,0.03727238331891321,-1119.1306090774597,1.6434407022920638,0.28355222913965383,67.33362239910281
6.03240648129626,sine,138,3,135,451.12973637145024,3.3417017508996314,1.0800653360136841e-35,465.91149742692187,0.03727531973007846,-1119.119737522081,1.6435054381924035,0.28278679658179384,67.36897170337693
6.033606721344269,sine,138,3,135,451.16597375636115,3.341970175973046,1.066317688252768e-35,465.9477348118328,0.037278346615932725,-1119.1085318961584,1.6435721660221256,0.28200179498994016,67.40520908828785
6.034806961392278,sine,138,3,135,451.2030862228162,3.3422450831319717,1.0524189515041146e-35,465.9848472782878,0.03728146292746683,-1119.0969961641176,1.6436408624146106,0.28119734148940767,67.44232155474288
