constraint,constraint_type,error_model,best_period_min,best_period_s,lo_period_min,hi_period_min,minus_s,plus_s,sigma_s_avg,delta_chi2_threshold
single_sine_free_formal,independent,formal_delta_chi2_1,8.75091697232411,525.0550183394465,8.708902967655886,8.79293097699233,2.5208402800933882,2.5208402800932816,2.520840280093335,1.0
single_sine_free_scaled,independent,scaled_to_reduced_chi2_1,8.75091697232411,525.0550183394465,8.678559519839947,8.820940313437813,4.341447149049742,4.201400466822207,4.2714238079359745,2.842674563168664
double_wave_free_formal,independent,formal_delta_chi2_1,17.586896724181045,1055.2138034508628,17.49887471867967,17.676919229807453,5.281320330082551,5.401350337584461,5.341335333833506,1.0
double_wave_free_scaled,independent,scaled_to_reduced_chi2_1,17.586896724181045,1055.2138034508628,17.444861215303828,17.730932733183295,8.522130532633057,8.642160540134967,8.582145536384012,2.529801796603545
conditional_superhump_family_scaled,conditional,scaled_to_reduced_chi2_1,17.586937187326292,1055.2162312395776,17.443746525847693,17.73190661478599,8.591439688715923,8.698165647581959,8.644802668148941,2.529801796603545
conditional_orbital_family_scaled,conditional,scaled_to_reduced_chi2_1,17.5,1050.0,17.3863813229572,17.5,6.817120622568069,0.0,3.4085603112840346,2.529801796603545
