file,jd,exptime,object_id,role,x,y,registered,dx,dy,matches,flux,flux_err,flux_rate,flux_rate_err,saturated,flag
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,target,target,1846.1828551628541,714.9477537747637,True,0.0,0.0,3,1504062.3229370117,5544.916210311319,188007.79036712646,693.1145262889149,False,ok
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,gaia_774272862760870784_src1,comparison,599.578460791499,258.08586022924334,True,0.0,0.0,3,-91.95905303955078,54.862771074742376,-11.494881629943848,6.857846384342797,False,nonpositive_flux
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,gaia_774271076054448768_src2,comparison,1506.7178858234115,321.3162110314761,True,0.0,0.0,3,-40.68107604980469,55.549750489049586,-5.085134506225586,6.943718811131198,False,nonpositive_flux
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,gaia_774384016513181696_src3,comparison,390.6121365600256,1254.514788035858,True,0.0,0.0,3,73.41600799560547,55.072796190006756,9.177000999450684,6.884099523750844,False,ok
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,gaia_774289041901756032_src4,comparison,2041.387437507543,1442.3507498915358,True,0.0,0.0,3,-101.1490478515625,55.43740595712579,-12.643630981445312,6.929675744640724,False,nonpositive_flux
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,gaia_774287774887292672_src5,comparison,2033.8085843345157,1080.733577355526,True,0.0,0.0,3,97.9901351928711,55.55938194725055,12.248766899108887,6.944922743406319,False,ok
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,gaia_774289488578357504_src6,comparison,940.6541235197662,1100.4907732876518,True,0.0,0.0,3,-37.52989959716797,54.55044815387344,-4.691237449645996,6.81880601923418,False,nonpositive_flux
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,gaia_774288805679445888_src7,comparison,1944.5979695251317,1351.7388630834228,True,0.0,0.0,3,-45.90178680419922,57.560874718571775,-5.737723350524902,7.195109339821472,False,nonpositive_flux
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,gaia_774290626745586944_src8,comparison,1071.4610770076736,1433.9985575432859,True,0.0,0.0,3,134.0438995361328,56.27186160973065,16.7554874420166,7.033982701216331,False,ok
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,DN_UMa,check,1764.9244620103386,759.2228666861361,True,0.0,0.0,3,2206656.2880859375,9496.15617281736,275832.0360107422,1187.01952160217,False,ok
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,HD_103405,comparison,1143.8808522014215,136.68717974446741,True,0.0,0.0,3,107968.04513549805,507.10279573995354,13496.005641937256,63.38784946749419,False,ok
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,TYC_3452_787_1,comparison,278.16533859175075,631.7186910244291,True,0.0,0.0,3,143998.95309448242,620.2454490902227,17999.869136810303,77.53068113627783,False,ok
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,HD_103187,comparison,9.529958786186212,1373.7559985669102,True,0.0,0.0,3,,,,,False,edge
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,8.0,target,target,1846.2800691734446,713.5418331515764,True,0.0,0.0,3,1359514.9892578125,6413.731445387102,169939.37365722656,801.7164306733878,False,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,8.0,gaia_774272862760870784_src1,comparison,599.578460791499,258.08586022924334,True,0.0,0.0,3,45.478416442871094,52.264114226848875,5.684802055358887,6.533014278356109,False,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,8.0,gaia_774271076054448768_src2,comparison,1506.7178858234115,321.3162110314761,True,0.0,0.0,3,2.9996566772460938,54.57954796241901,0.3749570846557617,6.822443495302376,False,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,8.0,gaia_774384016513181696_src3,comparison,390.6121365600256,1254.514788035858,True,0.0,0.0,3,41.676292419433594,57.14150204654972,5.209536552429199,7.142687755818715,False,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,8.0,gaia_774289041901756032_src4,comparison,2041.387437507543,1442.3507498915358,True,0.0,0.0,3,-0.46154022216796875,56.29255462590568,-0.057692527770996094,7.03656932823821,False,nonpositive_flux
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,8.0,gaia_774287774887292672_src5,comparison,2033.8085843345157,1080.733577355526,True,0.0,0.0,3,151.62104034423828,55.83416511453383,18.952630043029785,6.979270639316729,False,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,8.0,gaia_774289488578357504_src6,comparison,940.6541235197662,1100.4907732876518,True,0.0,0.0,3,118.14888000488281,53.65399648341925,14.768610000610352,6.706749560427406,False,ok
