object_id,n_ok,median_flux_rate,relative_robust_rms
DN_UMa,142,312935.94622039795,0.0820163053596158
HD_103187,140,79892.98225975037,0.1151193152753551
HD_103405,192,15617.216148376465,0.108151723654947
TYC_3452_787_1,192,20487.64958047867,0.11146389282115006
gaia_774271076054448768_src2,94,8.726786136627197,1.32721221142845
gaia_774272862760870784_src1,101,9.079174518585205,1.1578464828985553
gaia_774287774887292672_src5,108,7.75364875793457,1.247634790997615
gaia_774288805679445888_src7,88,6.658159255981445,1.1706958280969393
gaia_774289041901756032_src4,105,6.3079514503479,1.260892638501359
gaia_774289488578357504_src6,119,5.442878723144531,1.0628419624121648
gaia_774290626745586944_src8,107,7.067474365234375,0.9954149636799561
gaia_774384016513181696_src3,98,8.499408721923828,1.171331348333467
target,190,221593.05804729462,0.10957960212604703
