rank,period_d,period_min,frequency_cpd,power,fap,amp_pct,rms_pct
1,0.020501427728832768,29.522055929519187,48.777090709327595,0.026282871112308558,1.0,0.32004720711614354,1.3955401688207958
2,0.019643950366941085,28.287288528395166,50.90625771906376,0.026049665169039653,1.0,,
3,0.02143718135109106,30.869541145571123,46.64792369959143,0.025633219250318577,1.0,,
4,0.018855321798846046,27.151663390338307,53.03542472879993,0.02493486365718483,1.0,,
5,0.022462442223321923,32.34591680158357,44.51875668985526,0.02424622249598467,1.0,,
6,0.018127570031510526,26.10370084537516,55.164591738536096,0.02305993180624908,1.0,,
7,0.023590697799771448,33.97060483167088,42.389589680119094,0.022403941931285785,1.0,,
8,0.024838288663462972,35.76713567538668,40.26042267038293,0.02040197860131173,1.0,,
9,0.01713551073233559,24.675135454563254,58.35834225314035,0.019349885638529612,1.0,,
10,0.02622520508895926,37.76429532810134,38.13125566064676,0.01836814197264158,1.0,,
