rank,period_d,period_min,frequency_cpd,power,fap,amp_pct,rms_pct
1,0.00324963225464218,4.679470446684739,307.72712776083364,0.03959440896353019,0.9999999997694745,0.3991063339649729,1.3859982083506739
2,0.005832249147552857,8.398438772476116,171.46043913771896,0.038596310189237676,0.9999999999669027,,
3,0.009678003641565736,13.93632524385466,103.3270948261616,0.03233606635159076,1.0,,
4,0.010203646696817047,14.69325124341655,98.00417730182119,0.028795127713746642,1.0,,
5,0.005305214980474298,7.639509571882989,188.49377521560828,0.02790797463765472,1.0,,
6,0.009114557568240396,13.12496289826617,109.7145958553701,0.027326334898648497,1.0,,
7,0.020394288457377292,29.3677753786233,49.03333607788934,0.026302760521991354,1.0,,
8,0.019545564420241714,28.145612765148066,51.16250308762551,0.025960803673080058,1.0,,
9,0.02132006642196283,30.70089564762648,46.904169068153166,0.025754794524386244,1.0,,
10,0.0187646586825491,27.021108502870703,53.291670097361674,0.024745886124299083,1.0,,
