id,ra,dec,gmag,pred_x,pred_y,sep_rank,sep_x,sep_y,match_dist_pix,sep_flux
target_V0399_direct,178.79720833333332,46.46977777777778,,1846.1828551628541,714.9477537747637,,1846.1828551628541,714.9477537747637,0.0,
DN_UMa_direct,178.7739583333333,46.47683333333334,,1764.9244620103386,759.2228666861361,,1764.9244620103386,759.2228666861361,0.0,
gaia_774287774887292672_src5,178.80002505160095,46.556780572600005,12.399063,1894.9519124479702,1172.5662137027634,10.0,1891.6436288263062,1173.234740031981,3.3751545111635184,17493.166015625
gaia_774288805679445888_src7,178.76076509457042,46.60331589914923,12.6143265,1773.0776913705765,1429.772849126312,12.0,1767.995250132296,1430.049490681881,5.089964586403595,13473.9453125
gaia_774289041901756032_src4,178.78147499723826,46.623911999352806,12.235366,1857.367841644668,1531.9885377047165,9.0,1852.144473974858,1532.6528088919893,5.265436926244244,18075.2265625
gaia_774271076054448768_src2,178.70194468001174,46.39569340765313,11.731674,1467.6072987362163,353.61468002243873,6.0,1468.5081692804415,351.13981376307237,2.633729435458903,31687.892578125
gaia_774272862760870784_src1,178.46275048607365,46.34807375763143,11.348791,578.370559048227,175.661511042063,5.0,577.7613001985129,169.56387662732413,6.127996556931386,49506.359375
gaia_774384016513181696_src3,178.348626700007,46.52365201123965,12.215682,241.95466947224645,1135.7286125648438,8.0,239.38060962487774,1130.5477973514164,5.785035036498646,21996.8359375
gaia_774289488578357504_src6,178.50525907792644,46.51730639228618,12.368296,807.6299388842315,1054.4943397309667,11.0,805.0728403613342,1049.5229640101609,5.590467727589577,15193.1787109375
gaia_774290626745586944_src8,178.52100798552686,46.58393042146414,13.672781,894.3068381524521,1400.7768472177781,13.0,889.9963596699454,1396.5941079873598,6.006291053373418,2702.510009765625
