rank,x,y,flux,peak,a,b
1,1765.2511612500093,759.2894387780694,5607390.5,41022.8984375,5.9423675537109375,5.519737720489502
2,1846.3826411263085,714.9449924181458,3575434.0,28885.6015625,5.719318389892578,5.212311744689941
3,278.25561419320593,631.7180011952057,322311.9375,2797.026611328125,5.132440567016602,4.663832664489746
4,1143.9715304137133,136.68877465416665,243207.265625,2101.76220703125,5.142492294311523,4.566091537475586
5,577.7613001985129,169.56387662732413,49506.359375,464.1351318359375,4.380901336669922,4.000519752502441
6,1468.5081692804415,351.13981376307237,31687.892578125,303.96868896484375,4.243592739105225,3.6921117305755615
7,268.96551734984524,1532.791502961874,27902.646484375,282.4434814453125,4.115320205688477,3.6802618503570557
8,239.38060962487774,1130.5477973514164,21996.8359375,227.7891082763672,4.245630741119385,3.8097991943359375
9,1852.144473974858,1532.6528088919893,18075.2265625,196.18251037597656,3.8985421657562256,3.4274206161499023
10,1891.6436288263062,1173.234740031981,17493.166015625,191.86126708984375,3.923312187194824,3.3444764614105225
11,805.0728403613342,1049.5229640101609,15193.1787109375,176.12974548339844,3.7328784465789795,3.371400833129883
12,1767.995250132296,1430.049490681881,13473.9453125,160.9439697265625,3.7386159896850586,3.212477207183838
13,889.9963596699454,1396.5941079873598,2702.510009765625,61.29646301269531,2.5151615142822266,2.0594589710235596
14,1961.6872612765824,412.08592633098976,2121.12060546875,52.45970153808594,2.2641117572784424,1.91707181930542
15,683.0724814623044,711.404032591797,1488.779541015625,45.556304931640625,2.148013114929199,1.7078626155853271
16,2327.1970503524813,264.7192422972413,1419.4305419921875,51.02934265136719,1.9960523843765259,1.5972676277160645
17,85.11245555507446,783.9118440502675,1117.4083251953125,45.06170654296875,1.790292501449585,1.499513864517212
18,2299.0004400854914,684.9920450715119,1062.4390869140625,1046.794677734375,0.708480954170227,0.7036187052726746
19,1835.9992496734515,1421.0109244602127,887.1264038085938,897.2381591796875,0.7107104063034058,0.7029697895050049
20,1835.952414962947,1079.633758315669,850.422119140625,46.85157775878906,1.5569126605987549,1.4214222431182861
21,217.60127749211213,1103.8499861495445,507.629150390625,41.00123596191406,1.2660484313964844,1.095576286315918
22,125.0019127398433,91.0029383886273,429.7431945800781,400.638427734375,0.7242634296417236,0.7046340703964233
23,1549.429573267245,804.6201514361665,375.1214904785156,35.49403381347656,1.0723079442977905,0.9106453657150269
