file,jd,minutes,object_id,role,x,y,pred_x,pred_y,match_dist,flux,flux_err,flux_rate,flux_rate_err,flag,n_sources
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,target_V0399_direct,target,1846.1828551628541,714.9477537747637,1846.1828551628541,714.9477537747637,0.0,1504062.3229370117,5544.916210311319,188007.79036712646,693.1145262889149,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,DN_UMa_direct,check,1764.9244620103386,759.2228666861361,1764.9244620103386,759.2228666861361,0.0,2206656.2880859375,9496.15617281736,275832.0360107422,1187.01952160217,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,gaia_774287774887292672_src5,comparison,1891.6035304632062,1173.2992199503678,1891.6436288263062,1173.234740031982,0.07593114379713925,9688.668411254883,117.69427806058367,1211.0835514068604,14.711784757572959,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,gaia_774288805679445888_src7,comparison,1767.982390501925,1430.0759524925734,1767.9952501322953,1430.0494906818826,0.02942103870180967,7492.329261779785,106.38906396441737,936.5411577224731,13.298632995552172,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,gaia_774289041901756032_src4,comparison,1852.09653058046,1532.5990803152285,1852.1444739748574,1532.6528088919913,0.07200922876476429,9758.667709350586,119.12848365735302,1219.8334636688232,14.891060457169127,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,gaia_774271076054448768_src2,comparison,1468.4901671880339,351.1603487761052,1468.5081692804415,351.1398137630711,0.027308644993170265,16186.759742736816,148.91505221282623,2023.344967842102,18.614381526603278,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,gaia_774272862760870784_src1,comparison,577.7299667483894,169.5485574827964,577.761300198511,169.5638766273214,0.03487780505562625,24736.77410888672,185.0294158278069,3092.09676361084,23.128676978475863,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,gaia_774384016513181696_src3,comparison,239.30627015855046,1130.2567774515946,239.38060962487407,1130.5477973514153,0.3003646755943414,11045.12094116211,132.07218178328833,1380.6401176452637,16.50902272291104,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,gaia_774289488578357504_src6,comparison,805.0642719957781,1049.5405592334348,805.0728403613318,1049.5229640101604,0.019570609861166266,8579.556167602539,111.8640738939701,1072.4445209503174,13.983009236746263,ok,19
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,gaia_774290626745586944_src8,comparison,889.8530082271728,1396.717211782743,889.9963596699428,1396.59410798736,0.1889554989459864,2709.148391723633,76.30586025151744,338.6435489654541,9.53823253143968,ok,19
