file,raw_file,jd,exptime,object_id,role,v_mag,x,y,registered,dx,dy,shift_scatter,n_anchor_centroids,flux,flux_err,flux_rate,flux_rate_err,raw_peak,saturated,frame_artifact,flag
light_AMCVn_V_45s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0001.fit,2461181.7278106483,45.0,target,target,,466.62957884043084,1257.1529664777772,True,-36.26390060957141,-26.770644286027732,1.4742346715410586,6,18282.76123046875,167.74966666144246,406.28358289930554,3.727770370254277,1222.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0001.fit,2461181.7278106483,45.0,90,comparison,8.97,697.1068899086872,172.92476368492825,True,-36.26390060957141,-26.770644286027732,1.4742346715410586,6,2187634.165649414,2078.958933295002,48614.09256998698,46.199087406555606,46048.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0001.fit,2461181.7278106483,45.0,96,comparison,9.551,1772.378203389147,1045.569215095257,True,-36.26390060957141,-26.770644286027732,1.4742346715410586,6,1288606.6182861328,1407.3874726633712,28635.70262858073,31.275277170297137,27347.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0001.fit,2461181.7278106483,45.0,112,comparison,11.235,1236.9006939325573,1295.848477105028,True,-36.26390060957141,-26.770644286027732,1.4742346715410586,6,294615.2866821289,585.8871367656526,6547.006370713976,13.019714150347836,6970.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0001.fit,2461181.7278106483,45.0,125,comparison,12.454,353.4643252367973,1147.9585370450777,True,-36.26390060957141,-26.770644286027732,1.4742346715410586,6,93757.27447509766,327.8587313519078,2083.4949883355034,7.2857495855979515,2841.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0001.fit,2461181.7278106483,45.0,143,comparison,14.29,790.2842927528786,1358.5024375071257,True,-36.26390060957141,-26.770644286027732,1.4742346715410586,6,16995.943298339844,165.6239938477147,377.6876288519965,3.6805331966158823,1198.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0001.fit,2461181.7278106483,45.0,144,comparison,14.357,247.9854612562993,1335.5850347762375,True,-36.26390060957141,-26.770644286027732,1.4742346715410586,6,15645.958068847656,162.54949467103344,347.68795708550346,3.612210992689632,1163.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0002.fit,2461181.7284305557,45.0,target,target,,467.3487259603985,1257.564779640433,True,-35.54475348960375,-26.358831123372056,1.5098089525561975,6,18343.128158569336,170.08689714261135,407.6250701904297,3.779708825391363,1196.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0002.fit,2461181.7284305557,45.0,90,comparison,8.97,697.8205005578486,173.3378469881066,True,-35.54475348960375,-26.358831123372056,1.5098089525561975,6,2147883.435546875,2014.974584734455,47730.74301215278,44.777212994099,42437.0,False,False,ok
light_AMCVn_V_45s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_45s_2026_05_20-0002.fit,2461181.7284305557,45.0,96,comparison,9.551,1773.1361273159148,1045.9270436190213,True,-35.54475348960375,-26.358831123372056,1.5098089525561975,6,1266457.5109863281,1416.3325400594094,28143.500244140625,31.474056445764653,24364.0,False,False,ok
