sequence,n_comp,N_target,N_check,target_mad_pct,check_mad_pct,score_pct,subset,subset_short
V_8 generic,5,83,78,2.177298564512689,2.0076999369506616,2.0924992507316755,gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src5,src7,src4,src6,src3"
V_8 generic,3,83,78,2.2163834787864594,1.9839629640559908,2.100173221421225,gaia_774287774887292672_src5|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src5,src8,src3"
V_8 generic,5,83,78,2.2163834787864594,1.9839629640559908,2.100173221421225,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src5,src7,src8,src3"
V_8 generic,5,83,78,2.2163834787864594,1.9839629640559908,2.100173221421225,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src5,src6,src8,src3"
V_8 generic,5,83,78,2.2163834787864594,1.9839629640559908,2.100173221421225,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src1,src5,src7,src8,src3"
V_8 generic,5,83,78,2.2163834787864594,1.9839629640559908,2.100173221421225,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src1,src5,src6,src8,src3"
V_8 generic,7,83,78,2.2163834787864594,1.9839629640559908,2.100173221421225,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289488578357504_src6|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src1,src5,src7,src6,src8,src3"
V_8 generic,3,83,78,2.3015645824298767,1.971173074352449,2.136368828391163,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774290626745586944_src8,"src2,src5,src8"
V_8 generic,3,83,78,2.3015645824298767,1.971173074352449,2.136368828391163,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774290626745586944_src8,"src1,src5,src8"
V_8 generic,5,83,78,2.3015645824298767,1.971173074352449,2.136368828391163,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774290626745586944_src8,"src2,src1,src5,src7,src8"
V_8 generic,5,83,78,2.3015645824298767,1.971173074352449,2.136368828391163,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774290626745586944_src8,"src2,src1,src5,src6,src8"
V_8 generic,3,83,78,1.7608910965722437,2.5848564332128707,2.1728737648925573,gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774290626745586944_src8,"src5,src7,src8"
V_8 generic,3,83,78,1.7608910965722437,2.5848564332128707,2.1728737648925573,gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774290626745586944_src8,"src7,src4,src8"
V_8 generic,3,83,78,1.7608910965722437,2.5848564332128707,2.1728737648925573,gaia_774288805679445888_src7|gaia_774289488578357504_src6|gaia_774290626745586944_src8,"src7,src6,src8"
V_8 generic,3,83,78,1.7608910965722768,2.5848564332128543,2.1728737648925653,gaia_774271076054448768_src2|gaia_774288805679445888_src7|gaia_774290626745586944_src8,"src2,src7,src8"
V_8 generic,3,83,78,1.7608910965722768,2.5848564332128543,2.1728737648925653,gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774290626745586944_src8,"src1,src7,src8"
V_8 generic,3,83,78,1.7291894458902772,2.6537335774760433,2.19146151168316,gaia_774288805679445888_src7|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src7,src8,src3"
V_8 generic,5,83,78,2.3578434971879534,2.1773229715088935,2.2675832343484235,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src1,src5,src8,src3"
V_8 generic,5,83,78,2.3578434971879534,2.1773229715088935,2.2675832343484235,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src1,src7,src8,src3"
V_8 generic,5,83,78,2.3578434971879534,2.1773229715088935,2.2675832343484235,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289041901756032_src4|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src1,src4,src8,src3"
V_8 generic,5,83,78,2.3578434971879534,2.1773229715088935,2.2675832343484235,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289488578357504_src6|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src1,src6,src8,src3"
V_8 generic,3,83,78,2.3578434971879703,2.177322971508885,2.267583234348428,gaia_774272862760870784_src1|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src1,src8,src3"
V_8 generic,3,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774384016513181696_src3,"src2,src5,src3"
V_8 generic,3,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774288805679445888_src7|gaia_774384016513181696_src3,"src2,src7,src3"
V_8 generic,3,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774289041901756032_src4|gaia_774384016513181696_src3,"src2,src4,src3"
V_8 generic,3,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src2,src6,src3"
V_8 generic,5,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774384016513181696_src3,"src2,src1,src5,src7,src3"
V_8 generic,5,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774384016513181696_src3,"src2,src1,src5,src4,src3"
V_8 generic,5,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src2,src1,src5,src6,src3"
V_8 generic,5,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774384016513181696_src3,"src2,src1,src7,src4,src3"
V_8 generic,5,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src2,src1,src7,src6,src3"
V_8 generic,5,83,78,2.387124393283481,2.1604135749376505,2.273768984110566,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src2,src1,src4,src6,src3"
V_8 generic,3,83,78,2.3871243932834973,2.1604135749376425,2.27376898411057,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774384016513181696_src3,"src1,src5,src3"
V_8 generic,3,83,78,2.3871243932834973,2.1604135749376425,2.27376898411057,gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774384016513181696_src3,"src1,src7,src3"
V_8 generic,3,83,78,2.3871243932834973,2.1604135749376425,2.27376898411057,gaia_774272862760870784_src1|gaia_774289041901756032_src4|gaia_774384016513181696_src3,"src1,src4,src3"
V_8 generic,3,83,78,2.3871243932834973,2.1604135749376425,2.27376898411057,gaia_774272862760870784_src1|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src1,src6,src3"
V_8 generic,3,83,78,2.388173661275366,2.250709958357764,2.3194418098165652,gaia_774271076054448768_src2|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src8,src3"
