sequence,n_comp,N_target,N_check,target_mad_pct,check_mad_pct,score_pct,subset,subset_short,choice
V_8 generic,4,83,78,1.3719319195362951,1.1905538069609656,1.2812428632486303,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289041901756032_src4,"src2,src1,src5,src4",best_balanced
V_8 generic,6,83,78,1.339050906227249,1.7248792535600515,1.5319650798936504,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8,"src2,src1,src7,src4,src6,src8",best_balanced_min5
V_8 generic,4,83,78,1.3185887931457858,1.9206847941122145,1.6196367936290001,gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src7,src4,src8,src3",best_target_only
V0399 named,4,107,64,1.2300748837374647,1.1935864911787042,1.2118306874580844,HD_103187|gaia_774271076054448768_src2|gaia_774288805679445888_src7|gaia_774290626745586944_src8,"HD_103187,src2,src7,src8",best_balanced
V0399 named,6,107,64,1.330549529447322,1.1830419908440042,1.2567957601456632,HD_103187|HD_103405|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"HD_103187,HD_103405,src5,src7,src6,src3",best_balanced_min5
V0399 named,4,107,64,1.088102941622281,1.5836387793144342,1.3358708604683576,HD_103187|gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774289041901756032_src4,"HD_103187,src2,src5,src4",best_target_only
